País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
European Union,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,463858.079446199
European Union,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,331582.327945103
European Union,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,260734.89083615
European Union,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,185716.055462855
European Union,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,104373.97774576
European Union,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,559014.747140693
European Union,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,273934.349764925
European Union,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,174567.482128948
European Union,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,169736.690355601
European Union,Suiza,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,147927.836554757
European Union,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),50875.626436528
European Union,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),73542.649300701
European Union,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),117237.872593852
European Union,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),123505.697645208
European Union,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),147421.203450973
European Union,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),13170.979547782
European Union,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),86525.76148917
European Union,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),870298.953454412
European Union,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),57426.111539024
European Union,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),69054.880757165
European Union,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),575100.793872267
European Union,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),473923.160826611
European Union,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),605491.825957449
European Union,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),25921.606864911
European Union,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),239211.536877528
European Union,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),112138.861085504
European Union,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),355663.133083809
European Union,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),125540.976523084
European Union,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),16900.007816415
European Union,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),936354.650947962
European Union,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),527135.090078112
European Union,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),768767.583654733
European Union,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),720505.360644992
European Union,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),417993.062406586
European Union,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),2576314.01920186
European Union,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2510166.21507145
European Union,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1614575309.20473
European Union,...,2021,...,Aranceles,N.o de acuerdos arancelarios,58
European Union,...,2021,...,Importación,Número de asociados importadores,209
European Union,...,2021,...,Importación,Número de productos importados,4556
European Union,...,2021,...,Exportación,Número de asociados exportadores,210
European Union,...,2021,...,Exportación,Número de productos exportados,4556
European Union,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0556304
European Union,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.910953403
European Union,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,2.983339787
European Union,...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),4886
European Union,...,2015,...,Others,No Of NTM Measures,60
European Union,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0967264
European Union,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,18.0047
European Union,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.8704
European Union,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.1205
European Union,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.2086
European Union,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.0513
European Union,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,22.27
European Union,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.913
European Union,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.9544
European Union,Reino Unido,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.762
European Union,Suiza,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.8931
European Union,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),2.229
European Union,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),2.6804
European Union,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),22.3226
European Union,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.9747
European Union,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),2.8546
European Union,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),4.5506
European Union,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),4.7939
European Union,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),5.7222
European Union,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.5112
European Union,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),3.3585
European Union,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),33.7808
European Union,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),18.3954
European Union,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),23.5023
European Union,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),1.0062
European Union,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),9.285
European Union,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.3527
European Union,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),13.8051
European Union,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),4.8729
European Union,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.656
European Union,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),36.3447
