País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Finlandia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10755.5138434643
Finlandia,Suecia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8353.45026969174
Finlandia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5408.12564082463
Finlandia,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4968.81070309708
Finlandia,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4361.43895639253
Finlandia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12540.2951003532
Finlandia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10051.9711864547
Finlandia,Suecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9869.99099414743
Finlandia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7794.65605901979
Finlandia,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3856.88833877161
Finlandia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),358.855528411216
Finlandia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),651.040004471578
Finlandia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),30012.9088519029
Finlandia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),5704.3081990056
Finlandia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),12828.4254111129
