País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Fiji,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,167.226091920478
Fiji,Australia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,134.577460720731
Fiji,Nueva Zelandia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,67.1237267406046
Fiji,Tonga,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,47.1268756557136
Fiji,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,46.1994193349372
Fiji,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,361.204460707048
Fiji,Australia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,357.574072954016
Fiji,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,318.191220596155
Fiji,Nueva Zelandia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,312.718165730141
Fiji,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,223.4398534254
Fiji,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),33.8057056695524
Fiji,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),43.742269222172
Fiji,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),5.94212680198332
Fiji,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),26.2348912103609
Fiji,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),247.585171426667
Fiji,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.98398491831744
Fiji,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),426.54636403703
Fiji,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),60.6696285682991
Fiji,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),42.9385156315104
Fiji,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),180.656600432768
Fiji,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),6.61315820001252
Fiji,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),60.2184767531357
Fiji,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),54.5193330929911
Fiji,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),91.282117070604
Fiji,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),32.0868185577287
Fiji,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.4550902236465
Fiji,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),13.9491063575097
Fiji,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),77.3741324305092
Fiji,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),71.4544601107358
Fiji,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),148.937203753679
Fiji,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1003.75505036625
Fiji,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),385.387563282551
Fiji,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),547.077823409744
Fiji,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),174.560838513254
Fiji,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),815.335653152744
Fiji,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2115.64994048511
Fiji,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),663455.93330204
Fiji,...,2021,...,Aranceles,N.o de acuerdos arancelarios,3
Fiji,...,2021,...,Importación,Número de asociados importadores,142
Fiji,...,2021,...,Importación,Número de productos importados,3281
Fiji,...,2021,...,Exportación,Número de asociados exportadores,105
Fiji,...,2021,...,Exportación,Número de productos exportados,1921
Fiji,...,2018,...,Others,Population,883483
Fiji,...,2019,...,Others,Ease of Doing Business Rank,102
Fiji,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1021556
Fiji,...,2016,...,Others,LPI Score,2.316186
Fiji,...,2016,...,Others,LPI Rank,136
Fiji,...,2019,...,Others,Trading Across Borders Rank,79
Fiji,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1021414
