País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Francia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,81694.5039620477
Francia,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,46408.9863152948
Francia,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,44709.3021521476
Francia,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,43452.9251672943
Francia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,41245.8722345246
Francia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,119891.004421844
Francia,Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,76280.8985588135
Francia,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,63547.9786660484
Francia,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,59444.237967945
Francia,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,55979.3275515907
Francia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),103562.323496612
Francia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),106604.385573124
Francia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1697.06395456384
Francia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),14498.2607771632
Francia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),173664.914483108
Francia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),32360.5395102002
Francia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),85932.7505127189
Francia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),21715.4900741137
Francia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),18429.0306168496
Francia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),130555.139888521
Francia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),44614.2129796784
Francia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),5343.42709416385
Francia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),223994.108433588
Francia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),19874.2933628735
Francia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),42618.9914751233
Francia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),12559.2319294363
Francia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),45299.0570351581
Francia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),16549.3374092994
Francia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),13489.6407977707
Francia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),34973.1186828413
Francia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),154972.911793764
Francia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),298109.766427537
Francia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),188182.939372439
Francia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),57961.4055268318
Francia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),585148.03659885
Francia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),714842.314539932
Francia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),152058819.176786
Francia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Francia,...,2021,...,Importación,Número de asociados importadores,231
Francia,...,2021,...,Importación,Número de productos importados,4547
Francia,...,2021,...,Exportación,Número de asociados exportadores,227
Francia,...,2021,...,Exportación,Número de productos exportados,4503
Francia,...,2019,...,Others,Ease of Doing Business Rank,32
Francia,...,2019,...,Others,Trading Across Borders Rank,1
Francia,...,2018,...,Others,Population,66987244
Francia,...,2016,...,Others,LPI Score,3.900953
Francia,...,2016,...,Others,LPI Rank,16
Francia,...,,...,Others,Services Trade Restrictions Index - Over All,26.4
Francia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.9613
Francia,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.9312
Francia,Bélgica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.6407
Francia,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.426
Francia,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.0488
Francia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.7717
Francia,Bélgica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.671
Francia,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.8898
Francia,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.3157
Francia,España,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.831
Francia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),5.5303
Francia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),14.6856
Francia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),3.3965
Francia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),7.2835
Francia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.29
Francia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),2.4777
Francia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),29.6788
Francia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),3.7111
Francia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),3.1495
Francia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),22.3115
Francia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),7.6244
Francia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.9132
Francia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),38.2799
Francia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),2.1463
Francia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),7.7415
Francia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.8282
Francia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),2.3053
Francia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),5.9768
Francia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),17.6985
Francia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),18.2184
Francia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),21.6793
Francia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),41.7029
Francia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),26.3251
Francia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),8.1083
Francia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),2.37590361392399
Francia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.3847345810019
Francia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.585448906826562
Francia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),0.641249076511397
Francia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Francia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),9.17207251916481
Francia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),2.14227325640713
Francia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),1.43928138600295
Francia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),275.476013183594
Francia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),64.3038615526098
Francia,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,34.794245830193
Francia,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0456116222274891
