País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Islas Feroe,Reino Unido,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,131.897715
Islas Feroe,Dinamarca,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,83.814464
Islas Feroe,Francia,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,82.264959
Islas Feroe,Alemania,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,65.790833
Islas Feroe,Noruega,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,62.358846
Islas Feroe,Dinamarca,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,237.921756
Islas Feroe,Noruega,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,141.967805
Islas Feroe,Chile,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51.641823
Islas Feroe,Alemania,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,47.754826
Islas Feroe,Suecia,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,47.302455
Islas Feroe,Mundo,2009,Combustibles,Exportación,Exportaciones (en millones de US $),21.326272
Islas Feroe,Mundo,2009,Metales,Exportación,Exportaciones (en millones de US $),3.51691
Islas Feroe,Mundo,2009,Minerales,Exportación,Exportaciones (en millones de US $),0.014924
Islas Feroe,Mundo,2009,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.091138
Islas Feroe,Mundo,2009,Bienes de capital,Exportación,Exportaciones (en millones de US $),47.078191
Islas Feroe,Mundo,2009,Productos alimenticios,Exportación,Exportaciones (en millones de US $),19.056089
Islas Feroe,Mundo,2009,Calzado,Exportación,Exportaciones (en millones de US $),0.009565
Islas Feroe,Mundo,2009,Bienes de consumo,Exportación,Exportaciones (en millones de US $),77.7417089999999
Islas Feroe,Mundo,2009,Productos químicos,Exportación,Exportaciones (en millones de US $),0.824707
Islas Feroe,Mundo,2009,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),3.567201
Islas Feroe,Mundo,2009,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1.690406
Islas Feroe,Mundo,2009,Transporte,Exportación,Exportaciones (en millones de US $),44.241066
Islas Feroe,Mundo,2009,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.68252
Islas Feroe,Mundo,2009,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.907071
Islas Feroe,Mundo,2009,Bienes intermedios,Exportación,Exportaciones (en millones de US $),57.264062
Islas Feroe,Mundo,2009,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.040108
Islas Feroe,Mundo,2009,Varios,Exportación,Exportaciones (en millones de US $),0.335314
Islas Feroe,Mundo,2009,Reino animal,Exportación,Exportaciones (en millones de US $),659.334413
Islas Feroe,Mundo,2009,Madera,Exportación,Exportaciones (en millones de US $),4.106126
Islas Feroe,Mundo,2009,Materias primas,Exportación,Exportaciones (en millones de US $),579.659871
Islas Feroe,Mundo,2009,Bienes intermedios,Importación,Importaciones (en millones de US $),103.895069
Islas Feroe,Mundo,2009,Bienes de consumo,Importación,Importaciones (en millones de US $),410.767315
Islas Feroe,Mundo,2009,Bienes de capital,Importación,Importaciones (en millones de US $),209.584429
Islas Feroe,Mundo,2009,Materias primas,Importación,Importaciones (en millones de US $),52.253849
Islas Feroe,Mundo,2009,Todos los productos,Exportación,Exportaciones (en millones de US $),761.743826
Islas Feroe,Mundo,2009,Todos los productos,Importación,Importaciones (en millones de US $),783.439826
Islas Feroe,...,2009,...,Importación,Número de asociados importadores,184
Islas Feroe,...,2009,...,Importación,Número de productos importados,3408
Islas Feroe,...,2009,...,Exportación,Número de asociados exportadores,64
Islas Feroe,...,2009,...,Exportación,Número de productos exportados,328
Islas Feroe,...,2018,...,Others,Population,48497
Islas Feroe,Reino Unido,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.3152
Islas Feroe,Dinamarca,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.003
Islas Feroe,Francia,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.7996
Islas Feroe,Alemania,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.6369
Islas Feroe,Noruega,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.1863
Islas Feroe,Dinamarca,2009,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,30.3689
Islas Feroe,Noruega,2009,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,18.1211
Islas Feroe,Chile,2009,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.5917
Islas Feroe,Alemania,2009,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.0955
Islas Feroe,Suecia,2009,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.0378
Islas Feroe,Mundo,2009,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.5016
Islas Feroe,Mundo,2009,Calzado,Exportación,Exportaciones - Product share(en %),0.0013
Islas Feroe,Mundo,2009,Bienes de consumo,Exportación,Exportaciones - Product share(en %),10.2058
Islas Feroe,Mundo,2009,Combustibles,Exportación,Exportaciones - Product share(en %),2.7997
Islas Feroe,Mundo,2009,Metales,Exportación,Exportaciones - Product share(en %),0.4617
Islas Feroe,Mundo,2009,Minerales,Exportación,Exportaciones - Product share(en %),0.002
Islas Feroe,Mundo,2009,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.012
Islas Feroe,Mundo,2009,Bienes de capital,Exportación,Exportaciones - Product share(en %),6.1803
Islas Feroe,Mundo,2009,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.0896
Islas Feroe,Mundo,2009,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.3816
Islas Feroe,Mundo,2009,Bienes intermedios,Exportación,Exportaciones - Product share(en %),7.5175
Islas Feroe,Mundo,2009,Productos químicos,Exportación,Exportaciones - Product share(en %),0.1083
Islas Feroe,Mundo,2009,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.4683
Islas Feroe,Mundo,2009,Reino animal,Exportación,Exportaciones - Product share(en %),86.5559
Islas Feroe,Mundo,2009,Madera,Exportación,Exportaciones - Product share(en %),0.539
Islas Feroe,Mundo,2009,Materias primas,Exportación,Exportaciones - Product share(en %),76.0964
Islas Feroe,Mundo,2009,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0053
Islas Feroe,Mundo,2009,Varios,Exportación,Exportaciones - Product share(en %),0.044
Islas Feroe,Mundo,2009,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.2219
Islas Feroe,Mundo,2009,Transporte,Exportación,Exportaciones - Product share(en %),5.8079
Islas Feroe,Mundo,2009,Bienes intermedios,Importación,Importaciones - Product share(en %),13.2614
Islas Feroe,Mundo,2009,Bienes de consumo,Importación,Importaciones - Product share(en %),52.4313
Islas Feroe,Mundo,2009,Bienes de capital,Importación,Importaciones - Product share(en %),26.7518
Islas Feroe,Mundo,2009,Materias primas,Importación,Importaciones - Product share(en %),6.6698
Islas Feroe,Mundo,2009,Todos los productos,Trade Indicator,Crecimiento mundial (%),-12.1927126330463
Islas Feroe,Mundo,2009,Todos los productos,Trade Indicator,Crecimiento del país (%),-15.6432575257219
Islas Feroe,...,2009,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.45935177258435
Islas Feroe,...,2009,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.12299629013833
