País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Micronesia, Estados Fed. de",No especificados ,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22.050672
"Micronesia, Estados Fed. de",Guam,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.250369
"Micronesia, Estados Fed. de",Mariana,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.33168
"Micronesia, Estados Fed. de",Estados Unidos,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.732895
"Micronesia, Estados Fed. de",Islas Marshall,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.255826
"Micronesia, Estados Fed. de",Estados Unidos,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,69.380854
"Micronesia, Estados Fed. de",Guam,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41.420982
"Micronesia, Estados Fed. de",No especificados ,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12.865916
"Micronesia, Estados Fed. de",Japón,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12.619254
"Micronesia, Estados Fed. de",Australia,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12.026173
"Micronesia, Estados Fed. de",Mundo,2013,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.351274
"Micronesia, Estados Fed. de",Mundo,2013,Calzado,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.50462
"Micronesia, Estados Fed. de",Mundo,2013,Reino vegetal,Exportación,Exportaciones (en millones de US $),3.963321
"Micronesia, Estados Fed. de",Mundo,2013,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.00582
"Micronesia, Estados Fed. de",Mundo,2013,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.218573
"Micronesia, Estados Fed. de",Mundo,2013,Plástico o caucho,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Transporte,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Varios,Exportación,Exportaciones (en millones de US $),0.011486
"Micronesia, Estados Fed. de",Mundo,2013,Productos químicos,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Reino animal,Exportación,Exportaciones (en millones de US $),23.156836
"Micronesia, Estados Fed. de",Mundo,2013,Madera,Exportación,Exportaciones (en millones de US $),0.07406
"Micronesia, Estados Fed. de",Mundo,2013,Materias primas,Exportación,Exportaciones (en millones de US $),26.886763
"Micronesia, Estados Fed. de",Mundo,2013,Minerales,Exportación,Exportaciones (en millones de US $),0.013816
"Micronesia, Estados Fed. de",Mundo,2013,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.011486
"Micronesia, Estados Fed. de",Mundo,2013,Combustibles,Exportación,Exportaciones (en millones de US $),
"Micronesia, Estados Fed. de",Mundo,2013,Metales,Exportación,Exportaciones (en millones de US $),0.044829
"Micronesia, Estados Fed. de",Mundo,2013,Bienes intermedios,Importación,Importaciones (en millones de US $),18.173743
"Micronesia, Estados Fed. de",Mundo,2013,Bienes de consumo,Importación,Importaciones (en millones de US $),127.718442
"Micronesia, Estados Fed. de",Mundo,2013,Bienes de capital,Importación,Importaciones (en millones de US $),20.265909
"Micronesia, Estados Fed. de",Mundo,2013,Materias primas,Importación,Importaciones (en millones de US $),14.9472
"Micronesia, Estados Fed. de",Mundo,2013,Todos los productos,Exportación,Exportaciones (en millones de US $),27.621441
"Micronesia, Estados Fed. de",Mundo,2013,Todos los productos,Importación,Importaciones (en millones de US $),187.692299
"Micronesia, Estados Fed. de",...,2013,...,Importación,Número de asociados importadores,64
"Micronesia, Estados Fed. de",...,2013,...,Importación,Número de productos importados,2708
"Micronesia, Estados Fed. de",...,2013,...,Exportación,Número de asociados exportadores,5
"Micronesia, Estados Fed. de",...,2013,...,Exportación,Número de productos exportados,18
"Micronesia, Estados Fed. de",...,2019,...,Others,Ease of Doing Business Rank,158
"Micronesia, Estados Fed. de",...,2019,...,Others,Trading Across Borders Rank,65
"Micronesia, Estados Fed. de",...,2018,...,Others,Population,112640
"Micronesia, Estados Fed. de",...,2018,...,Others,CPIA Trade Ratings,4
"Micronesia, Estados Fed. de",No especificados ,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,79.8317
"Micronesia, Estados Fed. de",Guam,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.7676
"Micronesia, Estados Fed. de",Mariana,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.8212
"Micronesia, Estados Fed. de",Estados Unidos,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.6534
"Micronesia, Estados Fed. de",Islas Marshall,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.9262
"Micronesia, Estados Fed. de",Estados Unidos,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,36.9652
"Micronesia, Estados Fed. de",Guam,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,22.0686
"Micronesia, Estados Fed. de",No especificados ,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.8548
"Micronesia, Estados Fed. de",Japón,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7234
