País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Gabón,Estados Unidos,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3160.351522
Gabón,China,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,427.924379
Gabón,España,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,282.138568
Gabón,Francia,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,244.948321
Gabón,Malasia,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,215.312005
Gabón,Francia,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,823.737916
Gabón,Bélgica,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,392.62452
Gabón,Estados Unidos,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,178.388505
Gabón,Italia,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,128.757895
Gabón,China,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,122.236509
Gabón,Mundo,2009,Productos alimenticios,Exportación,Exportaciones (en millones de US $),35.646749
Gabón,Mundo,2009,Calzado,Exportación,Exportaciones (en millones de US $),0.040446
Gabón,Mundo,2009,Bienes de consumo,Exportación,Exportaciones (en millones de US $),153.840179
Gabón,Mundo,2009,Plástico o caucho,Exportación,Exportaciones (en millones de US $),29.511678
Gabón,Mundo,2009,Transporte,Exportación,Exportaciones (en millones de US $),22.393798
Gabón,Mundo,2009,Combustibles,Exportación,Exportaciones (en millones de US $),4453.018307
Gabón,Mundo,2009,Metales,Exportación,Exportaciones (en millones de US $),10.35501
Gabón,Mundo,2009,Productos químicos,Exportación,Exportaciones (en millones de US $),4.078006
Gabón,Mundo,2009,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),68.434791
Gabón,Mundo,2009,Reino vegetal,Exportación,Exportaciones (en millones de US $),2.495089
Gabón,Mundo,2009,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.090054
Gabón,Mundo,2009,Bienes intermedios,Exportación,Exportaciones (en millones de US $),192.709678
Gabón,Mundo,2009,Minerales,Exportación,Exportaciones (en millones de US $),160.439786
Gabón,Mundo,2009,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.306794
Gabón,Mundo,2009,Bienes de capital,Exportación,Exportaciones (en millones de US $),91.587095
Gabón,Mundo,2009,Reino animal,Exportación,Exportaciones (en millones de US $),2.379344
