País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Reino Unido,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,59891.1166954874
Reino Unido,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,40956.6801043544
Reino Unido,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,39648.1258931935
Reino Unido,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,37015.9203161119
Reino Unido,Irlanda,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,29135.166462144
Reino Unido,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,91162.1918326035
Reino Unido,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,75512.9674062705
Reino Unido,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,59691.0722194966
Reino Unido,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41621.0213039983
Reino Unido,Noruega,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,35965.9796183758
Reino Unido,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),15580.9990672114
Reino Unido,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),55961.0639356197
Reino Unido,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),18975.654869077
Reino Unido,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1454.45752513758
Reino Unido,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),144997.493541718
Reino Unido,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2146.54314861805
Reino Unido,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),67493.7254851131
Reino Unido,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),128241.565627385
Reino Unido,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1502.72379656955
Reino Unido,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),61037.9438095642
Reino Unido,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3259.57037293555
Reino Unido,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),8765.70605271178
Reino Unido,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),128102.359255726
Reino Unido,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),61661.7758742412
Reino Unido,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),94253.5372611438
Reino Unido,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),37743.2239722653
Reino Unido,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),25651.5224186976
Reino Unido,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),7291.56038679403
Reino Unido,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),7767.77805376256
Reino Unido,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),38325.8558619205
Reino Unido,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),175496.984268662
