País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Georgia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,615.68444143
Georgia,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,610.06005083
Georgia,Azerbaiyán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,531.72507631
Georgia,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,322.7613353
Georgia,Ucrania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,307.43570999
Georgia,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1828.97577783
Georgia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1023.18152827
Georgia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,865.021181860001
Georgia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,648.19722968
Georgia,Azerbaiyán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,598.3909867
Georgia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),295.20308551
Georgia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),167.71640035
Georgia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),968.70179034
Georgia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1.6053453
Georgia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),85.80646763
Georgia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),743.0074302
Georgia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),5.82229392
Georgia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1644.67560951
Georgia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),103.43655457
Georgia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),69.15814884
Georgia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1347.37813527
Georgia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),315.06415525
Georgia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),198.13071176
Georgia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),887.26867751
Georgia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),93.4293103
Georgia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),269.72437659
Georgia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),61.92769351
Georgia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),507.31346425
Georgia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),35.91351621
Georgia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),671.84976206
