País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Ghana,China,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2808.59666816098
Ghana,Suiza,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2465.91724950496
Ghana,India,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2380.13098943602
Ghana,Sudáfrica,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1971.00351852449
Ghana,Países Bajos,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,966.313526577126
Ghana,China,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1895.91101849036
Ghana,Estados Unidos,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,976.222409643952
Ghana,Reino Unido,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,685.550938115717
Ghana,India,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,582.202201652142
Ghana,Bélgica,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,532.88526233427
Ghana,Mundo,2019,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1.72958928383486
Ghana,Mundo,2019,Varios,Exportación,Exportaciones (en millones de US $),10.72524182222
Ghana,Mundo,2019,Plástico o caucho,Exportación,Exportaciones (en millones de US $),291.496142227065
Ghana,Mundo,2019,Transporte,Exportación,Exportaciones (en millones de US $),5.32359712497667
Ghana,Mundo,2019,Productos químicos,Exportación,Exportaciones (en millones de US $),209.98162234837
Ghana,Mundo,2019,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),37.0578283795109
Ghana,Mundo,2019,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2973.45612118009
Ghana,Mundo,2019,Calzado,Exportación,Exportaciones (en millones de US $),106.871348365052
Ghana,Mundo,2019,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1056.56117789937
Ghana,Mundo,2019,Reino animal,Exportación,Exportaciones (en millones de US $),63.1271875601471
Ghana,Mundo,2019,Madera,Exportación,Exportaciones (en millones de US $),196.499756235432
Ghana,Mundo,2019,Materias primas,Exportación,Exportaciones (en millones de US $),8074.8816153798
Ghana,Mundo,2019,Reino vegetal,Exportación,Exportaciones (en millones de US $),660.31188461529
Ghana,Mundo,2019,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),53.5939227807999
