País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Guinea,Emiratos Árabes Unidos,2016,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,660.13379392
Guinea,Ghana,2016,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,367.37139961
Guinea,India,2016,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,217.17818704
Guinea,Suiza,2016,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,183.85514855
Guinea,Francia,2016,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,145.4017392
Guinea,China,2016,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,582.19603878
Guinea,Emiratos Árabes Unidos,2016,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,464.70758806
Guinea,Países Bajos,2016,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,443.70063092
Guinea,India,2016,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,287.78875748
Guinea,Francia,2016,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,243.06178398
Guinea,Mundo,2016,Reino vegetal,Exportación,Exportaciones (en millones de US $),59.80022594
Guinea,Mundo,2016,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),7.42767634
Guinea,Mundo,2016,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1544.38526702
Guinea,Mundo,2016,Combustibles,Exportación,Exportaciones (en millones de US $),11.16122021
Guinea,Mundo,2016,Metales,Exportación,Exportaciones (en millones de US $),4.09437599
Guinea,Mundo,2016,Productos alimenticios,Exportación,Exportaciones (en millones de US $),9.73446753
Guinea,Mundo,2016,Calzado,Exportación,Exportaciones (en millones de US $),0.00760289
Guinea,Mundo,2016,Bienes de consumo,Exportación,Exportaciones (en millones de US $),60.53782812
Guinea,Mundo,2016,Minerales,Exportación,Exportaciones (en millones de US $),615.21413607
Guinea,Mundo,2016,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1563.05732109
Guinea,Mundo,2016,Bienes de capital,Exportación,Exportaciones (en millones de US $),12.36928434
Guinea,Mundo,2016,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
Guinea,Mundo,2016,Varios,Exportación,Exportaciones (en millones de US $),2.02463412
Guinea,Mundo,2016,Plástico o caucho,Exportación,Exportaciones (en millones de US $),63.62736621
Guinea,Mundo,2016,Transporte,Exportación,Exportaciones (en millones de US $),4.95667483
Guinea,Mundo,2016,Productos químicos,Exportación,Exportaciones (en millones de US $),0.52314086
Guinea,Mundo,2016,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),10.99969227
Guinea,Mundo,2016,Reino animal,Exportación,Exportaciones (en millones de US $),34.13963047
Guinea,Mundo,2016,Madera,Exportación,Exportaciones (en millones de US $),7.76035613
Guinea,Mundo,2016,Materias primas,Exportación,Exportaciones (en millones de US $),776.17518215
Guinea,Mundo,2016,Bienes intermedios,Importación,Importaciones (en millones de US $),325.90082486
Guinea,Mundo,2016,Bienes de consumo,Importación,Importaciones (en millones de US $),1438.47154556
Guinea,Mundo,2016,Materias primas,Importación,Importaciones (en millones de US $),463.76950963
Guinea,Mundo,2016,Bienes de capital,Importación,Importaciones (en millones de US $),1217.60557575
Guinea,Mundo,2016,Todos los productos,Exportación,Exportaciones (en millones de US $),2394.52852095
Guinea,Mundo,2016,Todos los productos,Importación,Importaciones (en millones de US $),3463.05109418
Guinea,Mundo,2008,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),50304.13
Guinea,...,2008,...,Aranceles,N.o de acuerdos arancelarios,1
