País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Guadalupe,Francia,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,106.560624
Guadalupe,Martinica,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17.04892
Guadalupe,Italia,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.405253
Guadalupe,Bahamas,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.050505
Guadalupe,Estados Unidos,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.518351
Guadalupe,Francia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1213.889792
Guadalupe,Trinidad y Tobago,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,70.340856
Guadalupe,Italia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,64.986736
Guadalupe,Estados Unidos,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,62.417764
Guadalupe,Alemania,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,60.765256
Guadalupe,Mundo,1995,Reino vegetal,Exportación,Exportaciones (en millones de US $),53.764688
Guadalupe,Mundo,1995,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.135724
Guadalupe,Mundo,1995,Bienes intermedios,Exportación,Exportaciones (en millones de US $),32.886632
Guadalupe,Mundo,1995,Productos químicos,Exportación,Exportaciones (en millones de US $),1.525098
Guadalupe,Mundo,1995,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),7.16515
Guadalupe,Mundo,1995,Combustibles,Exportación,Exportaciones (en millones de US $),0.041978
Guadalupe,Mundo,1995,Metales,Exportación,Exportaciones (en millones de US $),6.771371
Guadalupe,Mundo,1995,Minerales,Exportación,Exportaciones (en millones de US $),0.126619
Guadalupe,Mundo,1995,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1.140187
Guadalupe,Mundo,1995,Bienes de capital,Exportación,Exportaciones (en millones de US $),29.539153
Guadalupe,Mundo,1995,Productos alimenticios,Exportación,Exportaciones (en millones de US $),30.239207
