País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Gambia,Malí,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11.80008432
Gambia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.67410972
Gambia,Senegal,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.88450231
Gambia,Guinea-Bissau,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.18051029
Gambia,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.96508859
Gambia,Togo,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,180.29909988
Gambia,Côte d'Ivoire,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,87.72046465
Gambia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,53.9626038600001
Gambia,Dinamarca,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,42.2911833
Gambia,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,39.91793643
Gambia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),12.05624127
Gambia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),0.05864109
Gambia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1.90787183
Gambia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.06227214
Gambia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),14.49258632
Gambia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.7069431
Gambia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.1679111
Gambia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),9.32520675
Gambia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.4715817
Gambia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.0129631
Gambia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1.68066366
Gambia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.01539932
Gambia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1.61717193
Gambia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
Gambia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),0.001557
Gambia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.01073936
Gambia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),0.7215211
Gambia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),8.43673148
Gambia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.15391492
Gambia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.90283141
Gambia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),83.12791439
Gambia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),534.37997806
Gambia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),42.11592332
Gambia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),47.74620013
Gambia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),26.40146044
Gambia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),708.3793097
Gambia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),126275.043805462
Gambia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Gambia,...,2021,...,Importación,Número de asociados importadores,118
Gambia,...,2021,...,Importación,Número de productos importados,2502
Gambia,...,2021,...,Exportación,Número de asociados exportadores,33
Gambia,...,2021,...,Exportación,Número de productos exportados,136
Gambia,...,2018,...,Others,Population,2280102
Gambia,...,2019,...,Others,Ease of Doing Business Rank,155
Gambia,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),5044
Gambia,...,2013,...,Others,No Of NTM Measures,53
Gambia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.140023
Gambia,...,2019,...,Others,Trading Across Borders Rank,115
Gambia,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1400231
Gambia,...,2018,...,Others,CPIA Trade Ratings,4
Gambia,Malí,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,44.6948
Gambia,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,29.067
Gambia,Senegal,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.9255
Gambia,Guinea-Bissau,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.4714
Gambia,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.6554
Gambia,Togo,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,25.4523
Gambia,Côte d'Ivoire,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.3833
Gambia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.6178
Gambia,Dinamarca,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.9701
Gambia,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.6351
Gambia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),45.6651
Gambia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.2221
Gambia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),7.2264
Gambia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.2359
Gambia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),54.8931
Gambia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.6777
Gambia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.636
Gambia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),35.3208
Gambia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.7862
Gambia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.0491
Gambia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),6.3658
Gambia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0407
Gambia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),2.7329
Gambia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),
Gambia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.0059
Gambia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),31.9555
Gambia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.583
Gambia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),3.4196
Gambia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.0583
Gambia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),6.1253
Gambia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),75.437
Gambia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),5.9454
Gambia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),6.7402
Gambia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),11.7349
Gambia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),17.0071719870603
Gambia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),30.266249171531
Gambia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),9.69109981738399
Gambia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),19.9010328393699
Gambia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Gambia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),-37.0577960243116
Gambia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),14.0208052533105
Gambia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),17.6933324869454
Gambia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),35
Gambia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),6.09721831975274
