País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Guinea-Bissau,India,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20.13458
Guinea-Bissau,Singapur,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.812782
Guinea-Bissau,Portugal,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.121206
Guinea-Bissau,Países Bajos,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.058233
Guinea-Bissau,Panamá,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.049769
Guinea-Bissau,Senegal,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,45.723375
Guinea-Bissau,Portugal,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41.559
Guinea-Bissau,Tailandia,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7.798237
Guinea-Bissau,Países Bajos,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6.671598
Guinea-Bissau,Francia,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3.61392
Guinea-Bissau,Mundo,2005,Combustibles,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Metales,Exportación,Exportaciones (en millones de US $),0.146181
Guinea-Bissau,Mundo,2005,Minerales,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.015153
Guinea-Bissau,Mundo,2005,Reino vegetal,Exportación,Exportaciones (en millones de US $),22.917244
Guinea-Bissau,Mundo,2005,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.000304
Guinea-Bissau,Mundo,2005,Productos químicos,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.012435
Guinea-Bissau,Mundo,2005,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.016156
Guinea-Bissau,Mundo,2005,Calzado,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.020399
Guinea-Bissau,Mundo,2005,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Varios,Exportación,Exportaciones (en millones de US $),0.096884
Guinea-Bissau,Mundo,2005,Reino animal,Exportación,Exportaciones (en millones de US $),
Guinea-Bissau,Mundo,2005,Madera,Exportación,Exportaciones (en millones de US $),0.049778
Guinea-Bissau,Mundo,2005,Materias primas,Exportación,Exportaciones (en millones de US $),23.112505
Guinea-Bissau,Mundo,2005,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.003156
Guinea-Bissau,Mundo,2005,Transporte,Exportación,Exportaciones (en millones de US $),0.003042
Guinea-Bissau,Mundo,2005,Bienes intermedios,Importación,Importaciones (en millones de US $),13.008118
Guinea-Bissau,Mundo,2005,Bienes de consumo,Importación,Importaciones (en millones de US $),83.516107
Guinea-Bissau,Mundo,2005,Bienes de capital,Importación,Importaciones (en millones de US $),11.592941
Guinea-Bissau,Mundo,2005,Materias primas,Importación,Importaciones (en millones de US $),2.655095
Guinea-Bissau,Mundo,2005,Todos los productos,Exportación,Exportaciones (en millones de US $),23.244874
Guinea-Bissau,Mundo,2005,Todos los productos,Importación,Importaciones (en millones de US $),111.684811
Guinea-Bissau,Mundo,2005,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),7188.883
Guinea-Bissau,...,2005,...,Aranceles,N.o de acuerdos arancelarios,1
Guinea-Bissau,...,2005,...,Importación,Número de asociados importadores,24
