País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Grecia,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9294.33346019123
Grecia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6767.8826314921
Grecia,Chipre,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5558.15154184169
Grecia,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4869.22409081733
Grecia,Bulgaria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4437.75156227346
Grecia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,16232.6736848959
Grecia,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12174.8910345306
Grecia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11849.3232022767
Grecia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10177.2836967603
Grecia,Iraq,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9791.98816957171
Grecia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),6007.01374977274
Grecia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),4898.30743376122
Grecia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),19291.2886378324
Grecia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1635.26035523299
Grecia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),979.025890152281
Grecia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),8051.30182036184
Grecia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),26646.3136102743
Grecia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),10947.4727211477
Grecia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),10662.73601286
Grecia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),8156.91594810887
Grecia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),4364.08321481731
Grecia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),1681.07243152756
Grecia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),10238.1709502949
Grecia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),3811.04079564337
Grecia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),959.889357733296
Grecia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),467.611248604197
Grecia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),5071.28717810615
Grecia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),7596.88163895286
Grecia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),603.643046699684
Grecia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),54346.4733904475
Grecia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),57196.9330198954
Grecia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),23662.719633922
Grecia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),34291.9449804215
Grecia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),32884.8915767359
Grecia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),94488.5546333945
Grecia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),154570.056614396
Grecia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),51981825.2800623
Grecia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Grecia,...,2021,...,Importación,Número de asociados importadores,196
Grecia,...,2021,...,Importación,Número de productos importados,4427
Grecia,...,2021,...,Exportación,Número de asociados exportadores,220
Grecia,...,2021,...,Exportación,Número de productos exportados,4016
Grecia,...,2019,...,Others,Ease of Doing Business Rank,79
Grecia,...,2019,...,Others,Trading Across Borders Rank,34
Grecia,...,2018,...,Others,Population,10727668
Grecia,...,2016,...,Others,LPI Score,3.239516
Grecia,...,2016,...,Others,LPI Rank,47
Grecia,...,,...,Others,Services Trade Restrictions Index - Over All,18
Grecia,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.8365
Grecia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.1626
Grecia,Chipre,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.8824
Grecia,Turquía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.1532
Grecia,Bulgaria,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.6966
Grecia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.5018
Grecia,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.8766
Grecia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.666
Grecia,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.5843
Grecia,Iraq,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.335
Grecia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),6.3574
Grecia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),5.184
Grecia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),20.4165
Grecia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),8.04
Grecia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.6389
Grecia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),57.5165
Grecia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),11.2847
Grecia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),8.6327
Grecia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.7306
