País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Granada,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20.1712173872362
Granada,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.89870851261981
Granada,San Vicente y las Granadinas,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.72670407234737
Granada,Trinidad y Tobago,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.31881666534785
Granada,Santa Lucía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.81945111029166
Granada,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,174.536149084723
Granada,Trinidad y Tobago,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,76.8724310342387
Granada,Islas Caimán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41.5128592177464
Granada,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18.1409022040813
Granada,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11.5403862847559
Granada,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.02687296293609
Granada,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),0.77394740663346
Granada,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),8.333333325E-05
Granada,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.16250777761527
Granada,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),4.95972258763288
Granada,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),2.94144592298448
Granada,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),1.59880851691971
Granada,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),8.00095851051756
Granada,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),11.8375540622365
Granada,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.19363888869525
Granada,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),4.42754518075764
Granada,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1.2680481468801
Granada,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),4.21143814393671
Granada,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.18076925907849
Granada,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),0.66751999933248
Granada,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.04542259254717
Granada,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),0.746555554809
Granada,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),10.4653155450902
Granada,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.04346629625283
Granada,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),17.3766022048456
Granada,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),77.9872073294202
Granada,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),255.229326041067
Granada,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),37.3374766293292
Granada,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),74.1494139999246
Granada,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),35.163394409281
Granada,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),446.676290664435
Granada,Mundo,2019,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),18902.910937468
Granada,...,2019,...,Aranceles,N.o de acuerdos arancelarios,3
Granada,...,2021,...,Importación,Número de asociados importadores,104
Granada,...,2021,...,Importación,Número de productos importados,3140
Granada,...,2021,...,Exportación,Número de asociados exportadores,49
Granada,...,2021,...,Exportación,Número de productos exportados,673
Granada,...,2019,...,Others,Ease of Doing Business Rank,146
Granada,...,2019,...,Others,Trading Across Borders Rank,137
Granada,...,2018,...,Others,Population,111454
Granada,...,2018,...,Others,CPIA Trade Ratings,4
Granada,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,57.3642
Granada,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.7751
Granada,San Vicente y las Granadinas,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9105
Granada,Trinidad y Tobago,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.7505
Granada,Santa Lucía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.3304
Granada,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,39.0744
Granada,Trinidad y Tobago,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.2099
Granada,Islas Caimán,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.2937
Granada,Reino Unido,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.0613
Granada,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.5836
Granada,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),33.6644
Granada,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.5507
Granada,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),12.5913
Granada,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),8.3651
Granada,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),4.5468
Granada,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),22.7537
Granada,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.0764
Granada,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),2.201
Granada,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.0002
Granada,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.4622
Granada,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),14.1048
Granada,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),3.6062
Granada,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),11.9768
Granada,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.5141
Granada,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.8983
Granada,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1292
Granada,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),2.1231
Granada,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),29.762
Granada,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1236
Granada,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),49.4167
Granada,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),17.4594
Granada,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),16.6003
Granada,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),8.359
Granada,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),57.1397
Granada,Mundo,2019,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),7.36112556864698
Granada,Mundo,2019,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),15.9864579267038
Granada,Mundo,2019,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),6.05064391566513
Granada,Mundo,2019,Materias primas,Aranceles,Promedio ponderado de aranceles (%),19.8225433098043
Granada,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Granada,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),7.93219937862111
Granada,Mundo,2019,Todos los productos,Aranceles,Promedio simple de aranceles (%),10.5460735663684
Granada,Mundo,2019,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),10.7888374763244
Granada,Mundo,2019,Todos los productos,Aranceles,Tasa máxima de aranceles (%),40
Granada,Mundo,2019,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),14.1618105434341
Granada,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.28463046628591
Granada,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.227381747945232
