País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Groenlandia,Dinamarca,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,546.66031662
Groenlandia,No especificados ,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,49.60281822
Groenlandia,Letonia,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,23.93196366
Groenlandia,Portugal,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.02985388
Groenlandia,Federación de Rusia,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.23229748
Groenlandia,Dinamarca,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,449.47852291
Groenlandia,Suecia,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,141.8756488
Groenlandia,España,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,95.39117126
Groenlandia,Alemania,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,21.25370463
Groenlandia,China,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20.11974261
Groenlandia,Mundo,2018,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.01593622
Groenlandia,Mundo,2018,Transporte,Exportación,Exportaciones (en millones de US $),24.11283947
Groenlandia,Mundo,2018,Productos químicos,Exportación,Exportaciones (en millones de US $),0.00650248
Groenlandia,Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.48156952
Groenlandia,Mundo,2018,Minerales,Exportación,Exportaciones (en millones de US $),7.77E-05
Groenlandia,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1.79419979
Groenlandia,Mundo,2018,Bienes de capital,Exportación,Exportaciones (en millones de US $),25.0021738
Groenlandia,Mundo,2018,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.34180735
Groenlandia,Mundo,2018,Varios,Exportación,Exportaciones (en millones de US $),21.4268432
Groenlandia,Mundo,2018,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.00866434
Groenlandia,Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.1583247
Groenlandia,Mundo,2018,Bienes intermedios,Exportación,Exportaciones (en millones de US $),6.79609553
Groenlandia,Mundo,2018,Productos alimenticios,Exportación,Exportaciones (en millones de US $),128.34721544
Groenlandia,Mundo,2018,Calzado,Exportación,Exportaciones (en millones de US $),0.01287812
Groenlandia,Mundo,2018,Bienes de consumo,Exportación,Exportaciones (en millones de US $),134.99108747
Groenlandia,Mundo,2018,Reino animal,Exportación,Exportaciones (en millones de US $),463.4862503
Groenlandia,Mundo,2018,Madera,Exportación,Exportaciones (en millones de US $),0.03077959
Groenlandia,Mundo,2018,Materias primas,Exportación,Exportaciones (en millones de US $),454.30929665
Groenlandia,Mundo,2018,Combustibles,Exportación,Exportaciones (en millones de US $),0.00038214
Groenlandia,Mundo,2018,Metales,Exportación,Exportaciones (en millones de US $),0.67307328
Groenlandia,Mundo,2018,Bienes intermedios,Importación,Importaciones (en millones de US $),68.94288486
Groenlandia,Mundo,2018,Bienes de consumo,Importación,Importaciones (en millones de US $),459.359563020001
Groenlandia,Mundo,2018,Materias primas,Importación,Importaciones (en millones de US $),44.35394635
Groenlandia,Mundo,2018,Bienes de capital,Importación,Importaciones (en millones de US $),232.73279336
Groenlandia,Mundo,2018,Todos los productos,Exportación,Exportaciones (en millones de US $),640.89734364
Groenlandia,Mundo,2018,Todos los productos,Importación,Importaciones (en millones de US $),829.150195239999
Groenlandia,...,2018,...,Importación,Número de asociados importadores,143
Groenlandia,...,2018,...,Importación,Número de productos importados,2758
Groenlandia,...,2018,...,Exportación,Número de asociados exportadores,15
Groenlandia,...,2018,...,Exportación,Número de productos exportados,262
Groenlandia,...,2018,...,Others,Population,56025
Groenlandia,Dinamarca,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,85.2961
Groenlandia,No especificados ,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.7396
Groenlandia,Letonia,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.7341
Groenlandia,Portugal,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.9408
Groenlandia,Federación de Rusia,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.6604
Groenlandia,Dinamarca,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,54.2095
Groenlandia,Suecia,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.111
Groenlandia,España,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.5047
Groenlandia,Alemania,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.5633
Groenlandia,China,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.4265
Groenlandia,Mundo,2018,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.0014
Groenlandia,Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0247
Groenlandia,Mundo,2018,Bienes intermedios,Exportación,Exportaciones - Product share(en %),1.0604
Groenlandia,Mundo,2018,Productos químicos,Exportación,Exportaciones - Product share(en %),0.001
Groenlandia,Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.0751
Groenlandia,Mundo,2018,Productos alimenticios,Exportación,Exportaciones - Product share(en %),20.0262
Groenlandia,Mundo,2018,Calzado,Exportación,Exportaciones - Product share(en %),0.002
Groenlandia,Mundo,2018,Bienes de consumo,Exportación,Exportaciones - Product share(en %),21.0628
Groenlandia,Mundo,2018,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0533
Groenlandia,Mundo,2018,Varios,Exportación,Exportaciones - Product share(en %),3.3433
Groenlandia,Mundo,2018,Reino animal,Exportación,Exportaciones - Product share(en %),72.3183
Groenlandia,Mundo,2018,Madera,Exportación,Exportaciones - Product share(en %),0.0048
Groenlandia,Mundo,2018,Materias primas,Exportación,Exportaciones - Product share(en %),70.8864
Groenlandia,Mundo,2018,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0025
Groenlandia,Mundo,2018,Transporte,Exportación,Exportaciones - Product share(en %),3.7624
Groenlandia,Mundo,2018,Minerales,Exportación,Exportaciones - Product share(en %),0
Groenlandia,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.28
Groenlandia,Mundo,2018,Bienes de capital,Exportación,Exportaciones - Product share(en %),3.9011
Groenlandia,Mundo,2018,Combustibles,Exportación,Exportaciones - Product share(en %),0.0001
Groenlandia,Mundo,2018,Metales,Exportación,Exportaciones - Product share(en %),0.105
Groenlandia,Mundo,2018,Bienes de capital,Importación,Importaciones - Product share(en %),28.0688
Groenlandia,Mundo,2018,Bienes intermedios,Importación,Importaciones - Product share(en %),8.3149
Groenlandia,Mundo,2018,Materias primas,Importación,Importaciones - Product share(en %),5.3493
Groenlandia,Mundo,2018,Bienes de consumo,Importación,Importaciones - Product share(en %),55.4012
Groenlandia,Mundo,2018,Todos los productos,Trade Indicator,Crecimiento mundial (%),4.83141798213382
Groenlandia,Mundo,2018,Todos los productos,Trade Indicator,Crecimiento del país (%),6.9694104385567
Groenlandia,...,2018,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.37092054637596
Groenlandia,...,2018,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.302269405455404
