País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Guatemala,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4372.310459
Guatemala,El Salvador,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1730.886724
Guatemala,Honduras,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1397.939923
Guatemala,Nicaragua,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,844.053711
Guatemala,México,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,590.20848
Guatemala,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8731.85345
Guatemala,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4147.211224
Guatemala,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2753.495489
Guatemala,El Salvador,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1205.560067
Guatemala,Costa Rica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,771.89335
Guatemala,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),372.41098
Guatemala,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1061.619841
Guatemala,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),145.950986
Guatemala,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),198.261969
Guatemala,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),389.959743
Guatemala,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),4419.590792
Guatemala,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2106.988402
Guatemala,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3360.884689
Guatemala,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),60.462724
Guatemala,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),194.218647
Guatemala,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2056.275258
Guatemala,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),55.587486
Guatemala,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),6434.076983
Guatemala,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1310.179694
Guatemala,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),252.214744
Guatemala,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),782.665612
Guatemala,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),67.402177
Guatemala,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),114.624395
Guatemala,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),537.145488
Guatemala,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3550.590629
Guatemala,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),8037.98459000001
Guatemala,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),11478.427045
Guatemala,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),5065.519457
Guatemala,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2010.73103
Guatemala,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),13735.599195
Guatemala,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),26593.808327
Guatemala,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),17787364.319
Guatemala,...,2021,...,Aranceles,N.o de acuerdos arancelarios,16
Guatemala,...,2021,...,Importación,Número de asociados importadores,188
Guatemala,...,2021,...,Importación,Número de productos importados,4164
Guatemala,...,2021,...,Exportación,Número de asociados exportadores,138
Guatemala,...,2021,...,Exportación,Número de productos exportados,3376
Guatemala,...,2018,...,Others,Population,17247807
Guatemala,...,2016,...,Others,LPI Score,2.476327
Guatemala,...,2016,...,Others,LPI Rank,111
Guatemala,...,2019,...,Others,Trading Across Borders Rank,82
Guatemala,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1308463
Guatemala,...,,...,Others,Services Trade Restrictions Index - Over All,17.7
Guatemala,...,2019,...,Others,Ease of Doing Business Rank,96
Guatemala,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),948
Guatemala,...,2014,...,Others,No Of NTM Measures,21
Guatemala,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1685059
Guatemala,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,31.832
Guatemala,El Salvador,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.6015
Guatemala,Honduras,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.1775
Guatemala,Nicaragua,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.145
Guatemala,México,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.2969
Guatemala,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,32.8342
Guatemala,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.5946
Guatemala,México,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.3539
Guatemala,El Salvador,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.5332
Guatemala,Costa Rica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.9025
Guatemala,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),32.1762
Guatemala,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),15.3396
Guatemala,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),24.4684
Guatemala,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.0626
Guatemala,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.4434
Guatemala,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),2.839
Guatemala,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),14.9704
Guatemala,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.4047
Guatemala,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),46.8423
Guatemala,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.8345
Guatemala,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),3.9106
Guatemala,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),25.8496
Guatemala,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),2.7113
Guatemala,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),7.729
Guatemala,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.4402
Guatemala,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),1.414
Guatemala,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),5.6981
Guatemala,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.4907
Guatemala,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),9.5386
Guatemala,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),1.8362
Guatemala,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),43.162
Guatemala,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),30.225
Guatemala,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),19.0477
Guatemala,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),7.5609
Guatemala,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.32277678088253
Guatemala,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),2.57171844423738
Guatemala,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.771408606540276
Guatemala,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),1.90216486609472
Guatemala,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Guatemala,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),10.9664905828587
Guatemala,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),2.99945442951739
Guatemala,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),1.7246714337486
Guatemala,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),40
Guatemala,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),65.8599030518195
Guatemala,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,3.54490386196157
Guatemala,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.151416855610951
