País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Guayana Francesa,Francia,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,109.14136
Guayana Francesa,Guadalupe,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13.362932
Guayana Francesa,Suiza,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8.8669
Guayana Francesa,Martinica,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.675155
Guayana Francesa,Bélgica-Luxemburgo,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.019011
Guayana Francesa,Francia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,475.807328
Guayana Francesa,No especificados ,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,45.719792
Guayana Francesa,Trinidad y Tobago,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,40.226044
Guayana Francesa,Italia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,38.05978
Guayana Francesa,Bélgica-Luxemburgo,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32.480324
Guayana Francesa,Mundo,1995,Combustibles,Exportación,Exportaciones (en millones de US $),0.308014
Guayana Francesa,Mundo,1995,Metales,Exportación,Exportaciones (en millones de US $),15.126566
Guayana Francesa,Mundo,1995,Minerales,Exportación,Exportaciones (en millones de US $),0.000892
Guayana Francesa,Mundo,1995,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),25.189198
Guayana Francesa,Mundo,1995,Bienes de capital,Exportación,Exportaciones (en millones de US $),47.611161
Guayana Francesa,Mundo,1995,Reino vegetal,Exportación,Exportaciones (en millones de US $),10.482563
Guayana Francesa,Mundo,1995,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.547925
Guayana Francesa,Mundo,1995,Bienes intermedios,Exportación,Exportaciones (en millones de US $),39.708219
Guayana Francesa,Mundo,1995,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.013911
Guayana Francesa,Mundo,1995,Calzado,Exportación,Exportaciones (en millones de US $),0.008745
Guayana Francesa,Mundo,1995,Bienes de consumo,Exportación,Exportaciones (en millones de US $),20.769545
Guayana Francesa,Mundo,1995,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.042932
Guayana Francesa,Mundo,1995,Transporte,Exportación,Exportaciones (en millones de US $),40.666872
Guayana Francesa,Mundo,1995,Productos químicos,Exportación,Exportaciones (en millones de US $),2.171868
Guayana Francesa,Mundo,1995,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),11.455914
Guayana Francesa,Mundo,1995,Reino animal,Exportación,Exportaciones (en millones de US $),40.364802
Guayana Francesa,Mundo,1995,Madera,Exportación,Exportaciones (en millones de US $),2.556644
Guayana Francesa,Mundo,1995,Materias primas,Exportación,Exportaciones (en millones de US $),50.077602
