País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Guyana,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1786.60375916279
Guyana,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,700.403031828104
Guyana,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,293.630862301548
Guyana,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,293.417800025437
Guyana,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,282.647123421888
Guyana,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1668.898407818
Guyana,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,824.88040404359
Guyana,Trinidad y Tobago,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,333.354790221143
Guyana,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,279.206611222954
Guyana,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,107.355717369036
Guyana,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),96.3970362243225
Guyana,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.14636699025792
Guyana,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),273.052083083486
Guyana,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),217.859406152624
Guyana,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.72594793827072
Guyana,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),623.730816634181
Guyana,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2.3743116219264
Guyana,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),181.225776226458
Guyana,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),46.2465875052825
Guyana,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),20.7013597966848
Guyana,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),2943.02340725518
Guyana,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),6.91227264568704
Guyana,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),82.7428752363725
Guyana,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),561.163999420374
Guyana,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),212.609946816835
Guyana,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.0216520724736
Guyana,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),11.031423366743
Guyana,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),42.162711236471
Guyana,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),44.5153279993805
Guyana,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3144.37886271854
Guyana,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),432.732022696412
Guyana,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1387.55486761918
Guyana,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2234.20818600512
Guyana,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),105.23782000027
Guyana,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),4257.25046168851
Guyana,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),4159.75010995506
Guyana,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),2278606.06725473
Guyana,...,2021,...,Aranceles,N.o de acuerdos arancelarios,6
Guyana,...,2021,...,Importación,Número de asociados importadores,148
Guyana,...,2021,...,Importación,Número de productos importados,3252
Guyana,...,2021,...,Exportación,Número de asociados exportadores,103
Guyana,...,2021,...,Exportación,Número de productos exportados,1314
Guyana,...,2019,...,Others,Ease of Doing Business Rank,134
Guyana,...,2019,...,Others,Trading Across Borders Rank,151
Guyana,...,2018,...,Others,Population,779004
Guyana,...,2018,...,Others,CPIA Trade Ratings,3.5
Guyana,...,2016,...,Others,LPI Score,2.667018
Guyana,...,2016,...,Others,LPI Rank,85
Guyana,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,41.9661
Guyana,Singapur,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.452
Guyana,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.8972
Guyana,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.8922
Guyana,Canadá,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6392
Guyana,Singapur,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,40.1202
Guyana,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.83
Guyana,Trinidad y Tobago,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.0138
Guyana,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7121
Guyana,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.5808
Guyana,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.9436
Guyana,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),13.1814
Guyana,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),4.9941
Guyana,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),5.1174
Guyana,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0171
Guyana,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),14.651
Guyana,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),69.1297
Guyana,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.1624
Guyana,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.9904
Guyana,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.0456
Guyana,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),73.8594
Guyana,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),1.0863
Guyana,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.4863
Guyana,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.2643
Guyana,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0034
Guyana,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),6.4138
Guyana,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0005
Guyana,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.2591
Guyana,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0558
Guyana,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),4.2569
Guyana,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),33.3567
Guyana,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),10.4028
Guyana,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),53.7102
Guyana,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),2.5299
Guyana,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),6.5249120412632
Guyana,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),13.5742984710947
Guyana,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),1.21218378405376
Guyana,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),7.63242312109328
Guyana,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Guyana,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),33.3293166195236
Guyana,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),9.28034451097431
Guyana,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),4.72798106422208
Guyana,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),100
Guyana,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),28.7156421789105
Guyana,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.69667279494193
Guyana,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.327631519486493
