País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Hong Kong (China),China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,401691.808987088
Hong Kong (China),Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,39950.186446454
Hong Kong (China),"Otra zona de Asia, no esp.",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19021.9596950371
Hong Kong (China),India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17478.8375603008
Hong Kong (China),Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,15302.7707940786
Hong Kong (China),China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,315903.020808466
Hong Kong (China),"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,70952.5370049441
Hong Kong (China),Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,54187.9778154588
Hong Kong (China),"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41986.8954366735
Hong Kong (China),Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,37187.2282602927
Hong Kong (China),Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),9935.25724719375
Hong Kong (China),Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),2061.40982351413
Hong Kong (China),Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1964.07537879178
Hong Kong (China),Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2813.1676388831
Hong Kong (China),Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),11173.9148555791
Hong Kong (China),Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3946.07085910336
Hong Kong (China),Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),2671.95272655028
Hong Kong (China),Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),78149.304602372
Hong Kong (China),Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),179.732102800708
Hong Kong (China),Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),75152.3271874169
Hong Kong (China),Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),491865.874342546
Hong Kong (China),Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),4296.35371431111
Hong Kong (China),Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),41029.5008484179
Hong Kong (China),Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3422.58028284124
Hong Kong (China),Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),13478.5345392116
Hong Kong (China),Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),88624.8656337844
Hong Kong (China),Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),12493.6311165737
Hong Kong (China),Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),488635.772978957
Hong Kong (China),Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),637.852904769215
Hong Kong (China),Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),8207.86010771743
Hong Kong (China),Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),90539.7132863471
Hong Kong (China),Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),109300.148058078
Hong Kong (China),Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),492053.683999979
