País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Honduras,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2155.13657198
Honduras,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,331.78154241
Honduras,El Salvador,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,295.85216163
Honduras,Guatemala,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,226.34301681
Honduras,Nicaragua,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,215.64140848
Honduras,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3994.77723811
Honduras,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2083.17222714
Honduras,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,878.9119431
Honduras,Guatemala,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,650.28040701
Honduras,El Salvador,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,515.5525925
Honduras,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2083.71137191
Honduras,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),24.95498033
Honduras,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),863.94032777
Honduras,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),120.2502317
Honduras,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),207.81217559
Honduras,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),115.41769713
Honduras,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.65886605
Honduras,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),259.99638588
Honduras,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),383.51959604
Honduras,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),6.9552198
Honduras,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1486.35717004
Honduras,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),64.44578151
Honduras,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),7.97587136
Honduras,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),101.48088453
Honduras,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),919.25834069
Honduras,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.76070984
Honduras,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),13.1428032
Honduras,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),639.56004737
Honduras,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),141.46572234
Honduras,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2510.2303932
Honduras,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2630.48721213
Honduras,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2142.38375063
Honduras,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),6078.11925528
Honduras,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),779.83411933
Honduras,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),4975.94898814
Honduras,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),11630.8779959
Honduras,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),5117631.98728
Honduras,...,2021,...,Aranceles,N.o de acuerdos arancelarios,17
Honduras,...,2021,...,Importación,Número de asociados importadores,185
Honduras,...,2021,...,Importación,Número de productos importados,3764
Honduras,...,2021,...,Exportación,Número de asociados exportadores,113
Honduras,...,2021,...,Exportación,Número de productos exportados,2054
Honduras,...,,...,Others,Services Trade Restrictions Index - Over All,21.1
Honduras,...,2018,...,Others,Population,9587522
Honduras,...,2018,...,Others,CPIA Trade Ratings,4
Honduras,...,2016,...,Others,LPI Score,2.462812
Honduras,...,2016,...,Others,LPI Rank,112
Honduras,...,2019,...,Others,Trading Across Borders Rank,130
Honduras,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0936778
Honduras,...,2019,...,Others,Ease of Doing Business Rank,133
Honduras,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),1070
Honduras,...,2014,...,Others,No Of NTM Measures,31
Honduras,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0936778
Honduras,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,43.3111
Honduras,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6677
Honduras,El Salvador,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.9456
Honduras,Guatemala,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.5487
