País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Croacia,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2854.707658
Croacia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2690.721021
Croacia,Eslovenia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2344.425295
Croacia,Bosnia y Herzegovina,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1932.697024
Croacia,Hungría,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1799.520385
Croacia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4988.879175
Croacia,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4248.106552
Croacia,Eslovenia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3692.375524
Croacia,Hungría,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2498.123108
Croacia,Austria,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2113.748509
Croacia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),2593.911806
Croacia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2175.819071
Croacia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),2315.091336
Croacia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),3623.933997
Croacia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1064.685765
Croacia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1059.257141
Croacia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),5248.275307
