País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Hungría,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,37602.910253
Hungría,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8243.003172
Hungría,Rumania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7454.355584
Hungría,República Eslovaca,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7312.637072
Hungría,Austria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6403.971611
Hungría,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,33018.771372
Hungría,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9825.403731
Hungría,Austria,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8485.755572
Hungría,República Eslovaca,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8156.640882
Hungría,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7942.378497
Hungría,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5535.726681
Hungría,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),691.723833
Hungría,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),49652.164307
Hungría,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),9897.778088
Hungría,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),22580.196382
Hungría,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),4576.401452
Hungría,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2188.220933
Hungría,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),22059.7274
Hungría,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),12794.939995
Hungría,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),55064.68898
Hungría,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),382.264236
Hungría,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),8038.438638
Hungría,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),2535.28399
Hungría,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2970.309985
Hungría,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),6814.63420600001
Hungría,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),133.016776
Hungría,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2115.829837
Hungría,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),57535.810704
Hungría,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),4513.544274
Hungría,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),7138.727601
Hungría,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),30777.000505
Hungría,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),39104.057868
Hungría,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),6776.766143
Hungría,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),53898.595177
Hungría,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),141157.091681
Hungría,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),139132.012128
Hungría,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),26948988.77
Hungría,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Hungría,...,2021,...,Importación,Número de asociados importadores,186
Hungría,...,2021,...,Importación,Número de productos importados,4383
Hungría,...,2021,...,Exportación,Número de asociados exportadores,205
Hungría,...,2021,...,Exportación,Número de productos exportados,3999
Hungría,...,2019,...,Others,Ease of Doing Business Rank,52
Hungría,...,2019,...,Others,Trading Across Borders Rank,1
Hungría,...,2016,...,Others,LPI Score,3.428968
Hungría,...,2016,...,Others,LPI Rank,31
Hungría,...,,...,Others,Services Trade Restrictions Index - Over All,17.5
Hungría,...,2018,...,Others,Population,9768785
Hungría,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,26.6391
Hungría,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.8396
Hungría,Rumania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.2809
Hungría,República Eslovaca,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.1805
Hungría,Austria,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.5368
Hungría,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,23.732
Hungría,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.0619
Hungría,Austria,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.0991
