País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Indonesia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,53781.9044978621
Indonesia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,25820.254775388
Indonesia,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17855.409214892
Indonesia,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13289.379460641
Indonesia,Malasia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12006.46960364
Indonesia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,56227.202302
Indonesia,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15451.68394
Indonesia,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,14644.286874
Indonesia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11308.706993
Indonesia,Malasia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9451.030469
Indonesia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),45111.943901641
Indonesia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),30438.575850918
Indonesia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),42529.210430627
Indonesia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),13016.465092764
Indonesia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),73390.365963656
Indonesia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),10400.434994567
Indonesia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),18073.745728645
Indonesia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),6876.851352467
Indonesia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),6259.913801251
Indonesia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),18154.502916749
Indonesia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),9805.851813568
Indonesia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),6669.050359429
Indonesia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),85366.235772071
Indonesia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1089.906167228
Indonesia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),5467.079052608
Indonesia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),4144.026181802
Indonesia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),12737.40295386
Indonesia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),53358.771085999
Indonesia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),10004.109690001
Indonesia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),8897.890757424
Indonesia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),70668.842322
Indonesia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),42638.400846
Indonesia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),54835.673116
