País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
India,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,71510.4974496739
India,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,25446.6393147851
India,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,23036.5972556752
India,Bangladesh,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14092.7480876706
India,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11290.0611119194
India,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,87535.1356849443
India,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,43070.3449280535
India,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41386.8164060819
India,Suiza,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,29492.002640264
India,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,27689.3461060723
India,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),56612.9422674323
India,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),42991.9694288875
India,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),2839.21663142075
India,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),8365.44444708411
India,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),24679.7788812683
India,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),41467.5878306774
India,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),135785.586324152
India,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),10772.9842098805
India,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4110.26396643245
India,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),29980.8212600767
India,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),10907.3630015558
India,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3043.89825135458
India,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),167315.26454458
India,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),13015.0469856603
India,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),24715.8309336955
India,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),56400.6387540194
India,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),44514.4987981935
India,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),6621.71838593052
India,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),43754.4905738045
