País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Irlanda,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,62173.5442395143
Irlanda,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,21505.0529500648
Irlanda,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,21021.6635376798
Irlanda,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,16001.9787456699
Irlanda,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13243.4443069712
Irlanda,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,23070.6655546068
Irlanda,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,21435.9988250146
Irlanda,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12200.1832335122
Irlanda,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9996.87758514587
Irlanda,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8630.40775196589
Irlanda,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),1121.00556862725
Irlanda,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1704.37402889234
Irlanda,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),7125.46975607814
Irlanda,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),49.7033687925911
Irlanda,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),46400.969909636
Irlanda,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),120674.383159189
Irlanda,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),25338.0416009861
Irlanda,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2757.71063760068
Irlanda,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),4400.74011351401
Irlanda,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),642.68189449247
Irlanda,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),629.170045653112
