País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Irán, Rep. Islámica del","Otra zona de Asia, no esp.",2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,41581.5753465
"Irán, Rep. Islámica del",No especificados ,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11838.95971466
"Irán, Rep. Islámica del",China,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9217.702138
"Irán, Rep. Islámica del",Iraq,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8960.694438
"Irán, Rep. Islámica del",Emiratos Árabes Unidos,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5949.21974
"Irán, Rep. Islámica del",China,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10248.562382
"Irán, Rep. Islámica del",Emiratos Árabes Unidos,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5706.468412
"Irán, Rep. Islámica del",India,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2650.200455
"Irán, Rep. Islámica del",Turquía,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2580.424311
"Irán, Rep. Islámica del",Alemania,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2451.766032
"Irán, Rep. Islámica del",Mundo,2018,Reino animal,Exportación,Exportaciones (en millones de US $),1096.188349
"Irán, Rep. Islámica del",Mundo,2018,Madera,Exportación,Exportaciones (en millones de US $),264.082737
"Irán, Rep. Islámica del",Mundo,2018,Materias primas,Exportación,Exportaciones (en millones de US $),55935.947561
"Irán, Rep. Islámica del",Mundo,2018,Minerales,Exportación,Exportaciones (en millones de US $),1923.663116
"Irán, Rep. Islámica del",Mundo,2018,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1134.471056
"Irán, Rep. Islámica del",Mundo,2018,Bienes de capital,Exportación,Exportaciones (en millones de US $),1539.344867
"Irán, Rep. Islámica del",Mundo,2018,Combustibles,Exportación,Exportaciones (en millones de US $),66366.80198316
"Irán, Rep. Islámica del",Mundo,2018,Metales,Exportación,Exportaciones (en millones de US $),5874.026172
"Irán, Rep. Islámica del",Mundo,2018,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1710.723702
"Irán, Rep. Islámica del",Mundo,2018,Calzado,Exportación,Exportaciones (en millones de US $),117.821793
"Irán, Rep. Islámica del",Mundo,2018,Bienes de consumo,Exportación,Exportaciones (en millones de US $),20944.91288116
"Irán, Rep. Islámica del",Mundo,2018,Plástico o caucho,Exportación,Exportaciones (en millones de US $),5656.4264
"Irán, Rep. Islámica del",Mundo,2018,Transporte,Exportación,Exportaciones (en millones de US $),841.621677
"Irán, Rep. Islámica del",Mundo,2018,Productos químicos,Exportación,Exportaciones (en millones de US $),5981.86674
"Irán, Rep. Islámica del",Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),761.032941
"Irán, Rep. Islámica del",Mundo,2018,Cueros y pieles,Exportación,Exportaciones (en millones de US $),82.977022
"Irán, Rep. Islámica del",Mundo,2018,Varios,Exportación,Exportaciones (en millones de US $),168.817396
"Irán, Rep. Islámica del",Mundo,2018,Reino vegetal,Exportación,Exportaciones (en millones de US $),3507.442494
"Irán, Rep. Islámica del",Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1129.557698
"Irán, Rep. Islámica del",Mundo,2018,Bienes intermedios,Exportación,Exportaciones (en millones de US $),18187.936227
"Irán, Rep. Islámica del",Mundo,2018,Bienes intermedios,Importación,Importaciones (en millones de US $),11388.925394
"Irán, Rep. Islámica del",Mundo,2018,Bienes de consumo,Importación,Importaciones (en millones de US $),7322.876786
"Irán, Rep. Islámica del",Mundo,2018,Bienes de capital,Importación,Importaciones (en millones de US $),13489.980141
"Irán, Rep. Islámica del",Mundo,2018,Materias primas,Importación,Importaciones (en millones de US $),6251.117751
"Irán, Rep. Islámica del",Mundo,2018,Todos los productos,Exportación,Exportaciones (en millones de US $),96617.52127616
"Irán, Rep. Islámica del",Mundo,2018,Todos los productos,Importación,Importaciones (en millones de US $),41236.16845
"Irán, Rep. Islámica del",Mundo,2011,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),0
"Irán, Rep. Islámica del",...,2011,...,Aranceles,N.o de acuerdos arancelarios,1
"Irán, Rep. Islámica del",...,2018,...,Importación,Número de asociados importadores,124
