País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Iraq,No especificados ,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,84303.3
Iraq,Emiratos Árabes Unidos,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,128.67623
Iraq,República Árabe Siria,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,33.601642
Iraq,Turquía,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17.742636
Iraq,Jordania,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13.592077
Iraq,China,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10506.358149
Iraq,Emiratos Árabes Unidos,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5535.408575
Iraq,No especificados ,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5225.900034
Iraq,"Corea, Rep. de",2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2904.516181
Iraq,Estados Unidos,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2431.056363
Iraq,Mundo,2014,Combustibles,Exportación,Exportaciones (en millones de US $),84409.749142
Iraq,Mundo,2014,Metales,Exportación,Exportaciones (en millones de US $),
Iraq,Mundo,2014,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.125
Iraq,Mundo,2014,Transporte,Exportación,Exportaciones (en millones de US $),
Iraq,Mundo,2014,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1.387376
Iraq,Mundo,2014,Calzado,Exportación,Exportaciones (en millones de US $),
Iraq,Mundo,2014,Bienes de consumo,Exportación,Exportaciones (en millones de US $),304.497959
Iraq,Mundo,2014,Reino vegetal,Exportación,Exportaciones (en millones de US $),6.3089
Iraq,Mundo,2014,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.2185
Iraq,Mundo,2014,Bienes intermedios,Exportación,Exportaciones (en millones de US $),50.322396
Iraq,Mundo,2014,Productos químicos,Exportación,Exportaciones (en millones de US $),66.315981
Iraq,Mundo,2014,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.005397
Iraq,Mundo,2014,Minerales,Exportación,Exportaciones (en millones de US $),
Iraq,Mundo,2014,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),
Iraq,Mundo,2014,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.005397
Iraq,Mundo,2014,Cueros y pieles,Exportación,Exportaciones (en millones de US $),18.683894
Iraq,Mundo,2014,Varios,Exportación,Exportaciones (en millones de US $),0.0105
Iraq,Mundo,2014,Reino animal,Exportación,Exportaciones (en millones de US $),3.231875
Iraq,Mundo,2014,Madera,Exportación,Exportaciones (en millones de US $),
Iraq,Mundo,2014,Materias primas,Exportación,Exportaciones (en millones de US $),84151.210813
Iraq,Mundo,2014,Bienes intermedios,Importación,Importaciones (en millones de US $),11717.527473
Iraq,Mundo,2014,Bienes de capital,Importación,Importaciones (en millones de US $),7043.661395
Iraq,Mundo,2014,Bienes de consumo,Importación,Importaciones (en millones de US $),16272.823619
Iraq,Mundo,2014,Materias primas,Importación,Importaciones (en millones de US $),2030.26928
Iraq,Mundo,2014,Todos los productos,Exportación,Exportaciones (en millones de US $),84506.036565
Iraq,Mundo,2014,Todos los productos,Importación,Importaciones (en millones de US $),37064.4765
Iraq,...,2014,...,Importación,Número de asociados importadores,89
Iraq,...,2014,...,Importación,Número de productos importados,1280
Iraq,...,2014,...,Exportación,Número de asociados exportadores,16
Iraq,...,2014,...,Exportación,Número de productos exportados,21
Iraq,...,2019,...,Others,Ease of Doing Business Rank,172
Iraq,...,2019,...,Others,Trading Across Borders Rank,181
Iraq,...,2018,...,Others,Population,38433600
Iraq,...,2016,...,Others,LPI Score,2.149902
Iraq,...,2016,...,Others,LPI Rank,149
Iraq,No especificados ,2014,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,99.7601
Iraq,Emiratos Árabes Unidos,2014,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.1523
Iraq,República Árabe Siria,2014,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.0398
Iraq,Turquía,2014,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.021
Iraq,Jordania,2014,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.0161
Iraq,China,2014,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,28.3462
Iraq,Emiratos Árabes Unidos,2014,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.9345
Iraq,No especificados ,2014,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.0995
Iraq,"Corea, Rep. de",2014,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.8364
Iraq,Estados Unidos,2014,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.559
Iraq,Mundo,2014,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.0075
Iraq,Mundo,2014,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0003
Iraq,Mundo,2014,Bienes intermedios,Exportación,Exportaciones - Product share(en %),0.0595
Iraq,Mundo,2014,Minerales,Exportación,Exportaciones - Product share(en %),
Iraq,Mundo,2014,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),
Iraq,Mundo,2014,Bienes de capital,Exportación,Exportaciones - Product share(en %),0
Iraq,Mundo,2014,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.0016
Iraq,Mundo,2014,Calzado,Exportación,Exportaciones - Product share(en %),
Iraq,Mundo,2014,Bienes de consumo,Exportación,Exportaciones - Product share(en %),0.3603
Iraq,Mundo,2014,Reino animal,Exportación,Exportaciones - Product share(en %),0.0038
Iraq,Mundo,2014,Madera,Exportación,Exportaciones - Product share(en %),
Iraq,Mundo,2014,Materias primas,Exportación,Exportaciones - Product share(en %),99.5801
Iraq,Mundo,2014,Productos químicos,Exportación,Exportaciones - Product share(en %),0.0785
Iraq,Mundo,2014,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0
Iraq,Mundo,2014,Combustibles,Exportación,Exportaciones - Product share(en %),99.8861
Iraq,Mundo,2014,Metales,Exportación,Exportaciones - Product share(en %),
Iraq,Mundo,2014,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0001
Iraq,Mundo,2014,Transporte,Exportación,Exportaciones - Product share(en %),
Iraq,Mundo,2014,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0221
Iraq,Mundo,2014,Varios,Exportación,Exportaciones - Product share(en %),0
Iraq,Mundo,2014,Bienes de consumo,Importación,Importaciones - Product share(en %),43.9041
Iraq,Mundo,2014,Bienes intermedios,Importación,Importaciones - Product share(en %),31.6139
Iraq,Mundo,2014,Bienes de capital,Importación,Importaciones - Product share(en %),19.0038
Iraq,Mundo,2014,Materias primas,Importación,Importaciones - Product share(en %),5.4777
Iraq,Mundo,2014,Todos los productos,Trade Indicator,Crecimiento mundial (%),0.234767613927778
Iraq,Mundo,2014,Todos los productos,Trade Indicator,Crecimiento del país (%),-1.71930769449535
Iraq,...,2014,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.56249362060026
Iraq,...,2014,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.125581836966006
