País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Islandia,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1625.41231169427
Islandia,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,705.779980258059
Islandia,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,572.252461606838
Islandia,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,479.994571872383
Islandia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,463.886507896168
Islandia,Noruega,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,760.939377421513
Islandia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,694.912863845968
Islandia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,669.454388885706
Islandia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,645.261304327134
Islandia,Dinamarca,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,596.226032414158
Islandia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),68.6472336191628
Islandia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2550.84721533806
Islandia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),112.831194438656
Islandia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),17.4532716441312
Islandia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3010.56917457899
Islandia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),312.754263582338
Islandia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.5375130759063
Islandia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),511.351177634888
Islandia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),20.0498680246554
Islandia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),75.6565585269639
Islandia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),95.8594835834031
Islandia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),154.743072587227
Islandia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),27.1987403651613
Islandia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),3.7442711992881
Islandia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),314.520899884968
Islandia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),2347.1988474153
Islandia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),3.9347884782105
Islandia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2095.00101183167
Islandia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),7.4577826234218
Islandia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),174.828545957687
Islandia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1448.81090879893
Islandia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),3632.07004944596
Islandia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2399.41310043175
Islandia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),357.203941986745
Islandia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),5973.74265045958
Islandia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),7838.07241661517
