País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Israel,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,16322.52
Israel,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5042.388
Israel,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4398.394
Israel,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2735.097
Israel,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2233.835
Israel,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10728.046
Israel,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9014.519
Israel,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8638.151
Israel,Suiza,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6618.128
Israel,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6560.507
Israel,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),2252.676
Israel,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2459.229
Israel,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1513.83
Israel,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1039.709
Israel,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),17719.93
Israel,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),129.149
Israel,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),9832.766
Israel,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),22510.336
Israel,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),899.436
Israel,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),52.586
Israel,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),10226.317
