País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Italia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,79761.1264947147
Italia,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,63223.8154159735
Italia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,58372.6342308338
Italia,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,32226.6867762936
Italia,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,30989.5305042179
Italia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,91042.4008177894
Italia,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,46207.8557134766
Italia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,45626.7103496392
Italia,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,33147.09453213
Italia,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,30110.944646809
Italia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),37445.2348983433
Italia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),13990.1150062941
Italia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),268007.189048666
Italia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),18338.8870954586
Italia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),62016.6195065229
Italia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),32373.7816244673
Italia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),59880.0528033494
Italia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),16344.9404004503
Italia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),37681.0093488304
Italia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),132727.215326311
Italia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),69497.185695764
Italia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),146259.973249702
Italia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1441.18767933652
Italia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),33708.1482782759
Italia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),178723.885627878
Italia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),16157.3546849564
Italia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),49080.4955546328
Italia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),8736.30677701605
Italia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),12958.9674573743
Italia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),17948.9282514966
Italia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),171618.266456479
Italia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),193774.326763834
Italia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),122471.23123775
Italia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),73409.58570261
Italia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),615910.260060774
Italia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),568202.425245631
Italia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),171168663.212068
Italia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Italia,...,2021,...,Importación,Número de asociados importadores,217
Italia,...,2021,...,Importación,Número de productos importados,4528
Italia,...,2021,...,Exportación,Número de asociados exportadores,226
Italia,...,2021,...,Exportación,Número de productos exportados,4422
Italia,...,2019,...,Others,Ease of Doing Business Rank,58
Italia,...,2019,...,Others,Trading Across Borders Rank,1
Italia,...,2018,...,Others,Population,60431283
Italia,...,2016,...,Others,LPI Score,3.755414
Italia,...,,...,Others,Services Trade Restrictions Index - Over All,26.9
Italia,...,2016,...,Others,LPI Rank,21
Italia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.9501
Italia,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.2651
Italia,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.4775
Italia,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.2324
Italia,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0315
Italia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.0229
Italia,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.1323
Italia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.03
