País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Jamaica,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,730.334144000001
Jamaica,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,146.81536106
Jamaica,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,98.3877515000001
Jamaica,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,63.68966767
Jamaica,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,44.17036434
Jamaica,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2438.78017129001
Jamaica,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,514.33738816
Jamaica,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,463.88778291
Jamaica,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,206.29845267
Jamaica,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,189.84544102
Jamaica,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),468.9340805
Jamaica,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),12.20503939
Jamaica,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),327.21882148
Jamaica,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.3206158
Jamaica,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),837.708284620001
Jamaica,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),78.02759287
Jamaica,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2.84536375
Jamaica,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),14.54937624
Jamaica,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),56.25819212
Jamaica,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.40124973
Jamaica,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),430.4988123
Jamaica,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),419.0190314
Jamaica,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),11.30041301
Jamaica,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),7.03627031
