País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Jordania,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2311.74919950137
Jordania,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1281.81797809821
Jordania,Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1067.57096538884
Jordania,Zonas francas,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,788.437557085392
Jordania,Iraq,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,615.170846605192
Jordania,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3214.4152367652
Jordania,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3141.0647546754
Jordania,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1428.36262875717
Jordania,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1391.49351733256
Jordania,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,766.593670841064
Jordania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),260.789296527491
Jordania,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),170.424919122528
Jordania,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),614.373793494907
Jordania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),286.982437617926
Jordania,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),491.724909327643
Jordania,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3382.10188544524
Jordania,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),444.739801116485
