País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Japón,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,163860.265633826
Japón,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,135975.91458709
Japón,"Otra zona de Asia, no esp.",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,54558.9294703201
Japón,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,52567.98569703
Japón,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,35446.48900125
Japón,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,185664.476693581
Japón,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,82966.4885086662
Japón,Australia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,52241.209731765
Japón,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,33546.0313568563
Japón,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32082.1678199812
Japón,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),40954.3247435474
Japón,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),149703.755757994
Japón,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),73454.2263562137
Japón,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),247728.798132731
Japón,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),293.2892241375
Japón,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),121336.945865036
Japón,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5896.969120785
Japón,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),321.76484154375
Japón,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),178162.812610911
Japón,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1344.57993566625
Japón,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),7375.53233840375
Japón,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),163653.947272555
Japón,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),2428.9746793775
Japón,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),5383.8866617475
Japón,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),12343.9147394525
Japón,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),10228.4128167725
Japón,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),67728.0348153724
Japón,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1593.9350311975
Japón,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),21292.830928445
Japón,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),352510.348252332
Japón,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),131051.949210898
Japón,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),245409.023543076
Japón,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),181317.808463294
Japón,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),202358.511442162
Japón,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),757066.261248971
Japón,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),772276.197103327
Japón,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),594761981.725195
Japón,...,2021,...,Aranceles,N.o de acuerdos arancelarios,28
Japón,...,2021,...,Importación,Número de asociados importadores,215
Japón,...,2021,...,Importación,Número de productos importados,4412
Japón,...,2021,...,Exportación,Número de asociados exportadores,213
Japón,...,2021,...,Exportación,Número de productos exportados,4199
Japón,...,2016,...,Others,LPI Score,3.970464
Japón,...,,...,Others,Services Trade Restrictions Index - Over All,23.4
Japón,...,2019,...,Others,Trading Across Borders Rank,57
Japón,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0893345
Japón,...,2016,...,Others,LPI Rank,12
Japón,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.0193723366
Japón,...,2019,...,Others,Ease of Doing Business Rank,29
Japón,...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),5207
Japón,...,2015,...,Others,No Of NTM Measures,80
Japón,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0933038
Japón,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.0046445378
Japón,...,2018,...,Others,Population,126529100
Japón,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,21.6441
