País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Kazajstán,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9772.50563304
Kazajstán,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8889.09606214
Kazajstán,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7018.74576426
Kazajstán,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4384.19107353
Kazajstán,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2964.66564832
Kazajstán,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17605.49797534
Kazajstán,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8228.45685318
Kazajstán,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1814.82968599
Kazajstán,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1361.5908124
Kazajstán,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1146.38228336
Kazajstán,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2953.2506712
Kazajstán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),198.9215473
Kazajstán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),14795.94224136
Kazajstán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),508.2235573
Kazajstán,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),4.77615641
Kazajstán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),4372.94302449
Kazajstán,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),34820.91097453
Kazajstán,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),10478.87269557
Kazajstán,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),4953.62024902
Kazajstán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),893.75507935
Kazajstán,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1576.36572611
Kazajstán,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),2938.66773677
Kazajstán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1273.43555106
Kazajstán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),205.59640124
Kazajstán,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),641.08174786
Kazajstán,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),295.59498415
Kazajstán,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),69.13372387
Kazajstán,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),39573.69778764
Kazajstán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),10.33528745
Kazajstán,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),74.84803733
Kazajstán,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),9206.62534202001
Kazajstán,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),15297.71592721
Kazajstán,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),14007.37261876
Kazajstán,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2883.6292151
Kazajstán,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),60321.02440041
Kazajstán,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),41415.39924372
Kazajstán,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),24148742.686
Kazajstán,...,2021,...,Aranceles,N.o de acuerdos arancelarios,9
Kazajstán,...,2021,...,Importación,Número de asociados importadores,173
Kazajstán,...,2021,...,Importación,Número de productos importados,4319
Kazajstán,...,2021,...,Exportación,Número de asociados exportadores,121
Kazajstán,...,2021,...,Exportación,Número de productos exportados,3081
Kazajstán,...,2019,...,Others,Trading Across Borders Rank,105
Kazajstán,...,2018,...,Others,Population,18276499
Kazajstán,...,2019,...,Others,Ease of Doing Business Rank,25
Kazajstán,...,2012,...,Others,No Of NTM Affected Products (HS 6 Digit),2354
Kazajstán,...,2012,...,Others,No Of NTM Measures,29
Kazajstán,...,2016,...,Others,LPI Score,2.751998
Kazajstán,...,2016,...,Others,LPI Rank,77
Kazajstán,...,,...,Others,Services Trade Restrictions Index - Over All,17
Kazajstán,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.2008
Kazajstán,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.7363
Kazajstán,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.6357
Kazajstán,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.2681
Kazajstán,Turquía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9148
Kazajstán,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,42.5095
Kazajstán,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.8681
Kazajstán,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.382
Kazajstán,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.2876
Kazajstán,Turquía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.768
Kazajstán,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),8.2121
Kazajstán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.4817
Kazajstán,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),2.6133
Kazajstán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0171
Kazajstán,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.1241
Kazajstán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.8425
Kazajstán,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0079
Kazajstán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),7.2495
Kazajstán,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),4.8959
Kazajstán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.3298
Kazajstán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),24.5287
Kazajstán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.3408
Kazajstán,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.0628
Kazajstán,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),4.8717
Kazajstán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),2.1111
Kazajstán,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.49
Kazajstán,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.1146
Kazajstán,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),65.6051
Kazajstán,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),57.726
Kazajstán,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),17.3718
Kazajstán,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),36.9373
Kazajstán,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),22.23
Kazajstán,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),6.9627
Kazajstán,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),33.8217
Kazajstán,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),2.7854092953153
Kazajstán,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.75401084418304
Kazajstán,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),2.14065057312054
Kazajstán,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),1.91337135633095
Kazajstán,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Kazajstán,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),20.4196832103412
Kazajstán,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),4.47534951903006
Kazajstán,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.16557732348337
Kazajstán,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),351.393890380859
Kazajstán,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),44.8745882624354
Kazajstán,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,2.7793711484426
Kazajstán,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0726380808027828
