País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Kenya,Uganda,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,831.916748114224
Kenya,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,562.452313610513
Kenya,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,543.26774083852
Kenya,Pakistán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,484.9867621122
Kenya,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,450.577155921953
Kenya,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4025.66171997071
Kenya,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2106.72215700909
Kenya,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1628.40433412077
Kenya,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1045.97961017021
Kenya,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,892.273175232008
Kenya,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),144.392793173661
Kenya,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),86.9796024040174
Kenya,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),418.427479990777
Kenya,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),56.3391251989898
Kenya,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),330.199143407976
Kenya,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3184.19323948713
Kenya,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),488.627220887734
Kenya,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),925.523689241494
Kenya,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),542.854610114184
Kenya,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),54.5112886584482
Kenya,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),4088.14317340563
Kenya,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),20.3201940674069
Kenya,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),101.702095015777
Kenya,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),280.609257550249
Kenya,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),334.042190325178
Kenya,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),568.228649166038
Kenya,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),219.574261043547
Kenya,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),125.33777239191
Kenya,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),125.226441558983
Kenya,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1407.06265659368
Kenya,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),7706.31651948085
Kenya,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),6521.64492042422
Kenya,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),4178.37110797967
Kenya,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1177.88951599903
Kenya,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),6751.36622103404
Kenya,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),19594.1177299884
Kenya,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),9083037.6539939
Kenya,...,2021,...,Aranceles,N.o de acuerdos arancelarios,4
Kenya,...,2021,...,Importación,Número de asociados importadores,190
Kenya,...,2021,...,Importación,Número de productos importados,4099
Kenya,...,2021,...,Exportación,Número de asociados exportadores,179
Kenya,...,2021,...,Exportación,Número de productos exportados,3278
Kenya,...,2018,...,Others,Population,51393010
Kenya,...,2018,...,Others,CPIA Trade Ratings,4
Kenya,...,2016,...,Others,LPI Score,3.331295
Kenya,...,2019,...,Others,Trading Across Borders Rank,117
Kenya,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1223468
Kenya,...,2016,...,Others,LPI Rank,42
Kenya,...,2019,...,Others,Ease of Doing Business Rank,56
Kenya,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1305724
Kenya,...,,...,Others,Services Trade Restrictions Index - Over All,29.5
Kenya,Uganda,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.3222
Kenya,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.3309
Kenya,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.0468
Kenya,Pakistán,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.1835
Kenya,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6739
Kenya,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,20.5453
Kenya,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.7518
Kenya,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.3107
Kenya,Arabia Saudita,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.3382
Kenya,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.5538
Kenya,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),6.1977
Kenya,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.8345
Kenya,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),4.8908
Kenya,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),8.0407
Kenya,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.8074
Kenya,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),60.5528
Kenya,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),4.1563
Kenya,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),4.9478
Kenya,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.8565
Kenya,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.8548
Kenya,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),20.8412
Kenya,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),2.1387
Kenya,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.2883
Kenya,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.301
Kenya,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),1.5064
Kenya,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),8.4165
Kenya,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),3.2523
Kenya,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),47.1637
Kenya,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),7.2375
Kenya,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),13.7087
Kenya,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),39.3297
Kenya,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),21.3246
Kenya,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),33.2837
Kenya,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),6.0114
Kenya,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),4.76904723389117
Kenya,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),16.0246904974783
Kenya,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),5.05409143574724
Kenya,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),3.18429293760782
Kenya,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Kenya,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),1.17565877098946
Kenya,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),14.1152923934833
Kenya,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),9.30499799220307
Kenya,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),122.334297180176
Kenya,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),33.8994633154438
Kenya,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,3.90458671127769
Kenya,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0488366333922122
