País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Kirguistán,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1113.51157
Kirguistán,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,392.408993
Kirguistán,Kazajstán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,382.18921
Kirguistán,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,234.23256
Kirguistán,Uzbekistán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,180.096466
Kirguistán,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1911.144389
Kirguistán,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1457.433215
Kirguistán,Kazajstán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,661.748937
Kirguistán,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,321.092949
Kirguistán,Uzbekistán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,316.766945
Kirguistán,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),138.918177
Kirguistán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),111.597111
Kirguistán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1720.932965
Kirguistán,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),20.186962
Kirguistán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),101.716003
Kirguistán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),39.710457
Kirguistán,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),68.828296
Kirguistán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),74.34587
Kirguistán,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),7.577968
Kirguistán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),360.530767999999
Kirguistán,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),99.988394
Kirguistán,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),199.464679
