País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Camboya,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7490.96976711
Camboya,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1510.25315351
Camboya,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1093.62836082
Camboya,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,954.82778885
Camboya,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,880.781827180001
Camboya,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9684.34639990001
Camboya,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5096.98181208
Camboya,Tailandia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3463.34513825001
Camboya,Viet Nam,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3143.53491788
Camboya,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,980.280742149999
Camboya,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),12.74534646
Camboya,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),175.11781749
Camboya,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),842.09368417
Camboya,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.0027144
Camboya,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),265.16033982
Camboya,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),176.65655345
Camboya,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1492.27200037
Camboya,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),14544.2947926
Camboya,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),2.2525303
Camboya,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),361.08885261
Camboya,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),674.02626546
Camboya,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),92.02144089
Camboya,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1283.20841687
Camboya,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),2080.85388329
