País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Kiribati,Japón,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.94430760114928
Kiribati,Malasia,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.6004423050311
Kiribati,Australia,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.0688698900531
Kiribati,Estados Unidos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.0044958250762
Kiribati,Fiji,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.654994394689885
Kiribati,Fiji,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19.6433141911399
Kiribati,Australia,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17.0270598146142
Kiribati,China,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15.3749754373441
Kiribati,Singapur,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12.9285021220755
Kiribati,Nueva Zelandia,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9.34579732630345
Kiribati,Mundo,2020,Productos químicos,Exportación,Exportaciones (en millones de US $),0.0043548720152
Kiribati,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.6709358895643
Kiribati,Mundo,2020,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.0160265896792
Kiribati,Mundo,2020,Transporte,Exportación,Exportaciones (en millones de US $),0.1494303310715
Kiribati,Mundo,2020,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.0001018522532
Kiribati,Mundo,2020,Varios,Exportación,Exportaciones (en millones de US $),0.0393335508895
Kiribati,Mundo,2020,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.0212203664015
Kiribati,Mundo,2020,Calzado,Exportación,Exportaciones (en millones de US $),0.0003344607774
Kiribati,Mundo,2020,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.66263321045125
