País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Saint Kitts y Nevis,Estados Unidos,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22.8329749040393
Saint Kitts y Nevis,Santa Lucía,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.2662808263095
Saint Kitts y Nevis,Trinidad y Tobago,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.1702581667767
Saint Kitts y Nevis,Antigua y Barbuda,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.932729178381
Saint Kitts y Nevis,No especificados ,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.7580193493873
Saint Kitts y Nevis,Estados Unidos,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,207.145403258093
Saint Kitts y Nevis,Trinidad y Tobago,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,13.6157266990745
Saint Kitts y Nevis,Canadá,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8.2821197400942
Saint Kitts y Nevis,Japón,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8.2090490464983
Saint Kitts y Nevis,China,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7.9112602813244
Saint Kitts y Nevis,Mundo,2017,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.1003696959265
Saint Kitts y Nevis,Mundo,2017,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.4159548136744
Saint Kitts y Nevis,Mundo,2017,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1.7427153646903
Saint Kitts y Nevis,Mundo,2017,Combustibles,Exportación,Exportaciones (en millones de US $),0.0770339118549
Saint Kitts y Nevis,Mundo,2017,Metales,Exportación,Exportaciones (en millones de US $),2.157357064863
Saint Kitts y Nevis,Mundo,2017,Minerales,Exportación,Exportaciones (en millones de US $),0.0771860561472
Saint Kitts y Nevis,Mundo,2017,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1.9970965843829
Saint Kitts y Nevis,Mundo,2017,Bienes de capital,Exportación,Exportaciones (en millones de US $),19.6419704802321
Saint Kitts y Nevis,Mundo,2017,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3.319799680197
Saint Kitts y Nevis,Mundo,2017,Calzado,Exportación,Exportaciones (en millones de US $),0.0017476908449
Saint Kitts y Nevis,Mundo,2017,Bienes de consumo,Exportación,Exportaciones (en millones de US $),11.3967352773274
Saint Kitts y Nevis,Mundo,2017,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.268187176257
Saint Kitts y Nevis,Mundo,2017,Transporte,Exportación,Exportaciones (en millones de US $),0.3051066393375
Saint Kitts y Nevis,Mundo,2017,Reino animal,Exportación,Exportaciones (en millones de US $),0.3315575128866
Saint Kitts y Nevis,Mundo,2017,Madera,Exportación,Exportaciones (en millones de US $),3.8819569476688
Saint Kitts y Nevis,Mundo,2017,Materias primas,Exportación,Exportaciones (en millones de US $),0.4642231061468
Saint Kitts y Nevis,Mundo,2017,Productos químicos,Exportación,Exportaciones (en millones de US $),0.0676658175193
Saint Kitts y Nevis,Mundo,2017,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),19.4350655315817
Saint Kitts y Nevis,Mundo,2017,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.002094960868
Saint Kitts y Nevis,Mundo,2017,Varios,Exportación,Exportaciones (en millones de US $),0.8074641443869
Saint Kitts y Nevis,Mundo,2017,Bienes intermedios,Importación,Importaciones (en millones de US $),39.8586952857093
Saint Kitts y Nevis,Mundo,2017,Bienes de consumo,Importación,Importaciones (en millones de US $),180.916447798186
Saint Kitts y Nevis,Mundo,2017,Bienes de capital,Importación,Importaciones (en millones de US $),60.4792804762146
Saint Kitts y Nevis,Mundo,2017,Materias primas,Importación,Importaciones (en millones de US $),27.6924259334723
Saint Kitts y Nevis,Mundo,2017,Todos los productos,Exportación,Exportaciones (en millones de US $),33.2456442283966
Saint Kitts y Nevis,Mundo,2017,Todos los productos,Importación,Importaciones (en millones de US $),308.946849493582
