País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Corea, Rep. de",China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,162912.971626
"Corea, Rep. de",Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,96299.348465
"Corea, Rep. de",Viet Nam,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,56728.532105
"Corea, Rep. de",Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,37465.021175
"Corea, Rep. de",Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,30061.769927
"Corea, Rep. de",China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,138627.45637
"Corea, Rep. de",Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,73659.005658
"Corea, Rep. de",Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,54641.466341
"Corea, Rep. de",Australia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32916.488566
"Corea, Rep. de",Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24271.348371
"Corea, Rep. de",Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),40012.148135
"Corea, Rep. de",Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),56936.764795
"Corea, Rep. de",Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1713.728002
"Corea, Rep. de",Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),3422.321232
"Corea, Rep. de",Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),5470.916798
"Corea, Rep. de",Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),7390.538032
"Corea, Rep. de",Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),654.340008
"Corea, Rep. de",Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),155994.64929
"Corea, Rep. de",Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2345.876496
"Corea, Rep. de",Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),8597.390964
"Corea, Rep. de",Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),319937.393
"Corea, Rep. de",Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),781.093046
"Corea, Rep. de",Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),29115.421219
"Corea, Rep. de",Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),63523.381331
"Corea, Rep. de",Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),273757.873844
"Corea, Rep. de",Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),51440.567231
"Corea, Rep. de",Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),91461.082151
"Corea, Rep. de",Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),995.720765
"Corea, Rep. de",Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),12224.689501
"Corea, Rep. de",Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),162930.278026
"Corea, Rep. de",Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),117720.761185
"Corea, Rep. de",Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),154713.33025
"Corea, Rep. de",Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),140351.937802
"Corea, Rep. de",Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),202170.652568
"Corea, Rep. de",Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),644372.936752
"Corea, Rep. de",Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),615072.659909
"Corea, Rep. de",Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),306767908.677
"Corea, Rep. de",...,2021,...,Aranceles,N.o de acuerdos arancelarios,33
"Corea, Rep. de",...,2021,...,Importación,Número de asociados importadores,231
"Corea, Rep. de",...,2021,...,Importación,Número de productos importados,4482
"Corea, Rep. de",...,2021,...,Exportación,Número de asociados exportadores,224
"Corea, Rep. de",...,2021,...,Exportación,Número de productos exportados,4293
"Corea, Rep. de",...,2019,...,Others,Ease of Doing Business Rank,5
"Corea, Rep. de",...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),30
"Corea, Rep. de",...,2013,...,Others,No Of NTM Measures,3
"Corea, Rep. de",...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0910329
"Corea, Rep. de",...,2019,...,Others,Trading Across Borders Rank,36
"Corea, Rep. de",...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0900861
"Corea, Rep. de",...,2016,...,Others,LPI Score,3.717126
"Corea, Rep. de",...,,...,Others,Services Trade Restrictions Index - Over All,23.1
"Corea, Rep. de",...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.3962549865
"Corea, Rep. de",...,2018,...,Others,Population,51635256
"Corea, Rep. de",...,2016,...,Others,LPI Rank,24
"Corea, Rep. de",...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.52305305
"Corea, Rep. de",China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,25.2824
"Corea, Rep. de",Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.9447
"Corea, Rep. de",Viet Nam,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.8037
"Corea, Rep. de",Hong Kong (China),2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.8142
"Corea, Rep. de",Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.6653
"Corea, Rep. de",China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,22.5384
"Corea, Rep. de",Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.9757
"Corea, Rep. de",Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.8837
"Corea, Rep. de",Australia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.3516
"Corea, Rep. de",Arabia Saudita,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.9461
"Corea, Rep. de",Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.1545
"Corea, Rep. de",Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.8971
"Corea, Rep. de",Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),25.2851
"Corea, Rep. de",Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.1469
"Corea, Rep. de",Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1015
"Corea, Rep. de",Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),24.2088
"Corea, Rep. de",Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.3641
"Corea, Rep. de",Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.3342
