País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Kuwait,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,57826.313946
Kuwait,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,804.703451
Kuwait,Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,727.992445
Kuwait,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,712.813843
Kuwait,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,701.847495
Kuwait,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5733.256569
Kuwait,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3789.754528
Kuwait,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2547.168584
Kuwait,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1836.713404
Kuwait,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1696.291655
Kuwait,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),57861.52088
Kuwait,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),433.840046
Kuwait,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),87.532491
Kuwait,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),71.959977
Kuwait,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2695.87681600001
Kuwait,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1944.970115
Kuwait,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),415.002567
Kuwait,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),168.034858
Kuwait,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),19.796868
Kuwait,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),17610.632035
Kuwait,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),419.972381
Kuwait,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1114.878678
Kuwait,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),11.043787
Kuwait,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),220.365909
Kuwait,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2.20913
Kuwait,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),134.634211
