País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Líbano,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1029.829192
Líbano,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,428.71372
Líbano,Camerún,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,282.710843
Líbano,Qatar,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,203.199144
Líbano,"Egipto, Rep. Árabe de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,174.993108
Líbano,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1519.106034
Líbano,Grecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1368.576518
Líbano,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1269.748818
Líbano,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,769.174576
Líbano,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,766.635494
Líbano,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),9.426675
Líbano,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),477.122943
Líbano,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1.561566
Líbano,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1072.037637
Líbano,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),394.786988
Líbano,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),557.264195
Líbano,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),50.599927
Líbano,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),924.829561999998
Líbano,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),9.44472
Líbano,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),406.004621
Líbano,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),119.148653
Líbano,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),262.422797
Líbano,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),417.33966
Líbano,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),4.945096
Líbano,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1622.126839
Líbano,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),40.409122
Líbano,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),134.517259
Líbano,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1261.01678
Líbano,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),350.980309
Líbano,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),316.751558
Líbano,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2902.815488
Líbano,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),7757.116383
Líbano,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1622.102596
Líbano,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1565.835715
Líbano,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),4229.976738
Líbano,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),13856.703728
Líbano,Mundo,2020,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),4884653.114
Líbano,...,2020,...,Aranceles,N.o de acuerdos arancelarios,7
Líbano,...,2021,...,Importación,Número de asociados importadores,183
Líbano,...,2021,...,Importación,Número de productos importados,3767
Líbano,...,2021,...,Exportación,Número de asociados exportadores,174
Líbano,...,2021,...,Exportación,Número de productos exportados,2741
Líbano,...,2019,...,Others,Ease of Doing Business Rank,143
Líbano,...,2019,...,Others,Trading Across Borders Rank,153
Líbano,...,2018,...,Others,Population,6848925
Líbano,...,2016,...,Others,LPI Score,2.717255
Líbano,...,2016,...,Others,LPI Rank,82
Líbano,...,,...,Others,Services Trade Restrictions Index - Over All,42.3
Líbano,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,24.346
Líbano,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.1351
Líbano,Camerún,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6835
Líbano,Qatar,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.8038
Líbano,"Egipto, Rep. Árabe de",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.137
Líbano,Turquía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.963
Líbano,Grecia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.8766
Líbano,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.1634
Líbano,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.5509
Líbano,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.5326
Líbano,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.9553
Líbano,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),3.1801
Líbano,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),29.8114
Líbano,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.0369
Líbano,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),25.3438
Líbano,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),9.3331
Líbano,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),9.8662
Líbano,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1169
Líbano,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),38.3484
Líbano,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.2229
Líbano,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),11.2796
Líbano,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),8.2975
Líbano,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),7.4883
Líbano,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.2233
Líbano,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),9.5983
Líbano,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),2.8168
Líbano,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),6.2039
Líbano,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),13.1742
Líbano,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.1962
Líbano,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),21.8637
Líbano,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),55.981
Líbano,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),11.7063
Líbano,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),11.3002
Líbano,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),20.9488
Líbano,Mundo,2020,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.15528381268336
Líbano,Mundo,2020,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),2.98451538795342
Líbano,Mundo,2020,Materias primas,Aranceles,Promedio ponderado de aranceles (%),3.69220480562085
Líbano,Mundo,2020,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),3.69567035860225
Líbano,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Líbano,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),-0.799511121624896
Líbano,Mundo,2020,Todos los productos,Aranceles,Promedio simple de aranceles (%),5.08151227366352
Líbano,Mundo,2020,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.82869335772861
Líbano,Mundo,2020,Todos los productos,Aranceles,Tasa máxima de aranceles (%),283.928100585938
Líbano,Mundo,2020,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),58.8499049508224
Líbano,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,4.49228344246455
Líbano,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0739444932802197
