País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Libia,Italia,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9732.90566705
Libia,China,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6577.73798808
Libia,España,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3409.0905251
Libia,Francia,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1465.16251727
Libia,Emiratos Árabes Unidos,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1210.75318456
Libia,China,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2453.606506
Libia,Turquía,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2068.8905
Libia,Italia,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1391.387917
Libia,Emiratos Árabes Unidos,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1354.771737
Libia,"Egipto, Rep. Árabe de",2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,830.67458
Libia,Mundo,2019,Combustibles,Exportación,Exportaciones (en millones de US $),27647.368110464
Libia,Mundo,2019,Metales,Exportación,Exportaciones (en millones de US $),298.898146
Libia,Mundo,2019,Reino animal,Exportación,Exportaciones (en millones de US $),21.664099
Libia,Mundo,2019,Madera,Exportación,Exportaciones (en millones de US $),5.043883
Libia,Mundo,2019,Materias primas,Exportación,Exportaciones (en millones de US $),24419.323130284
Libia,Mundo,2019,Minerales,Exportación,Exportaciones (en millones de US $),14.01079958
Libia,Mundo,2019,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1198.128467
Libia,Mundo,2019,Bienes de capital,Exportación,Exportaciones (en millones de US $),12.331904
Libia,Mundo,2019,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1.700357
Libia,Mundo,2019,Calzado,Exportación,Exportaciones (en millones de US $),0.006836
Libia,Mundo,2019,Bienes de consumo,Exportación,Exportaciones (en millones de US $),3477.70646076
Libia,Mundo,2019,Productos químicos,Exportación,Exportaciones (en millones de US $),58.36311287
Libia,Mundo,2019,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),10.5456
Libia,Mundo,2019,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1.02677
Libia,Mundo,2019,Transporte,Exportación,Exportaciones (en millones de US $),1.796126
Libia,Mundo,2019,Cueros y pieles,Exportación,Exportaciones (en millones de US $),4.232697
Libia,Mundo,2019,Varios,Exportación,Exportaciones (en millones de US $),13.800333
Libia,Mundo,2019,Reino vegetal,Exportación,Exportaciones (en millones de US $),6.675415
Libia,Mundo,2019,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.648336
Libia,Mundo,2019,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1363.63605687
Libia,Mundo,2019,Bienes de consumo,Importación,Importaciones (en millones de US $),9533.222665
Libia,Mundo,2019,Bienes intermedios,Importación,Importaciones (en millones de US $),1624.223846
Libia,Mundo,2019,Bienes de capital,Importación,Importaciones (en millones de US $),2994.930124
Libia,Mundo,2019,Materias primas,Importación,Importaciones (en millones de US $),1451.668315
Libia,Mundo,2019,Todos los productos,Exportación,Exportaciones (en millones de US $),29285.909087914
Libia,Mundo,2019,Todos los productos,Importación,Importaciones (en millones de US $),15663.796204
Libia,...,2019,...,Importación,Número de asociados importadores,103
Libia,...,2019,...,Importación,Número de productos importados,3333
Libia,...,2019,...,Exportación,Número de asociados exportadores,71
Libia,...,2019,...,Exportación,Número de productos exportados,350
Libia,...,2019,...,Others,Ease of Doing Business Rank,186
Libia,...,2019,...,Others,Trading Across Borders Rank,129
Libia,...,2018,...,Others,Population,6678567
Libia,...,2016,...,Others,LPI Score,2.264495
Libia,...,2016,...,Others,LPI Rank,137
Libia,Italia,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,33.2341
Libia,China,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,22.4604
Libia,España,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.6407
Libia,Francia,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.003
Libia,Emiratos Árabes Unidos,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.1343
Libia,China,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.6642
Libia,Turquía,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.2081
Libia,Italia,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.8828
Libia,Emiratos Árabes Unidos,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.6491
Libia,"Egipto, Rep. Árabe de",2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.3031
Libia,Mundo,2019,Minerales,Exportación,Exportaciones - Product share(en %),0.0478
Libia,Mundo,2019,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),4.0911
Libia,Mundo,2019,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.0421
Libia,Mundo,2019,Productos químicos,Exportación,Exportaciones - Product share(en %),0.1993
Libia,Mundo,2019,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.036
Libia,Mundo,2019,Combustibles,Exportación,Exportaciones - Product share(en %),94.405
Libia,Mundo,2019,Metales,Exportación,Exportaciones - Product share(en %),1.0206
Libia,Mundo,2019,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0145
Libia,Mundo,2019,Varios,Exportación,Exportaciones - Product share(en %),0.0471
Libia,Mundo,2019,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0035
Libia,Mundo,2019,Transporte,Exportación,Exportaciones - Product share(en %),0.0061
Libia,Mundo,2019,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.0058
Libia,Mundo,2019,Calzado,Exportación,Exportaciones - Product share(en %),0
