País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Santa Lucía,Estados Unidos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18.90408744
Santa Lucía,Trinidad y Tobago,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8.12189904
Santa Lucía,Reino Unido,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.04777784000001
Santa Lucía,Barbados,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.56661785
Santa Lucía,Dominica,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.89588195
Santa Lucía,Estados Unidos,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,211.95855607
Santa Lucía,Trinidad y Tobago,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,75.13989469
Santa Lucía,Reino Unido,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,33.93842078
Santa Lucía,China,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,31.99100453
Santa Lucía,Japón,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15.16167418
Santa Lucía,Mundo,2020,Combustibles,Exportación,Exportaciones (en millones de US $),2.29332037
Santa Lucía,Mundo,2020,Metales,Exportación,Exportaciones (en millones de US $),2.28269855
Santa Lucía,Mundo,2020,Productos alimenticios,Exportación,Exportaciones (en millones de US $),20.08357319
Santa Lucía,Mundo,2020,Calzado,Exportación,Exportaciones (en millones de US $),0.26238359
Santa Lucía,Mundo,2020,Bienes de consumo,Exportación,Exportaciones (en millones de US $),44.1905255599999
Santa Lucía,Mundo,2020,Reino vegetal,Exportación,Exportaciones (en millones de US $),9.41291373
Santa Lucía,Mundo,2020,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.35471494
Santa Lucía,Mundo,2020,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3.13926368
Santa Lucía,Mundo,2020,Minerales,Exportación,Exportaciones (en millones de US $),2.68315196
Santa Lucía,Mundo,2020,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),4.46254673
Santa Lucía,Mundo,2020,Bienes de capital,Exportación,Exportaciones (en millones de US $),7.51216614
Santa Lucía,Mundo,2020,Productos químicos,Exportación,Exportaciones (en millones de US $),4.87014691
Santa Lucía,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),6.67960368
Santa Lucía,Mundo,2020,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.34979604
Santa Lucía,Mundo,2020,Varios,Exportación,Exportaciones (en millones de US $),4.09044238
Santa Lucía,Mundo,2020,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.73999808
Santa Lucía,Mundo,2020,Transporte,Exportación,Exportaciones (en millones de US $),3.10802373
Santa Lucía,Mundo,2020,Reino animal,Exportación,Exportaciones (en millones de US $),0.33489147
