País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,495935.212357396
,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,171081.924435756
,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,30300.4220819023
,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,24795.6939647675
,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,24624.6355932497
,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,367666.689785275
,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,259142.407268304
,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,47541.5898128413
,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41435.1479486318
,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32060.4008426063
,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),113421.61949208
,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),83181.0928833458
,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),147850.146845465
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),23688.8437424253
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),215766.604878552
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),80272.0154153383
,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),2509.23067075167
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),227472.057104069
,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),123399.852145002
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),43925.9982453747
,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),257454.387026141
,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),40041.5173821359
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),191103.577791539
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3239.62349371546
,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),78466.6464863481
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),29303.459125518
,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),139379.802035443
,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),54455.2883946926
,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),28073.8998521856
,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),386489.252478679
,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),291336.438378913
,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),364390.430896626
,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),79679.5422731654
,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),402360.097028108
,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1182312.61400136
,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1210225.91878294
,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),346570245.893404
,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1167
,...,2021,...,Importación,Número de asociados importadores,236
,...,2021,...,Importación,Número de productos importados,4622
,...,2021,...,Exportación,Número de asociados exportadores,235
,...,2021,...,Exportación,Número de productos exportados,4492
,...,2018,...,Others,Population,641357515
,...,2018,...,Others,CPIA Trade Ratings,4.0625
,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,41.9462
,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.4701
,Brasil,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.5628
,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.0972
,Canadá,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.0828
,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,30.38
,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,21.4127
,Brasil,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.9283
,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.4238
,"Corea, Rep. de",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.6491
,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),12.5052
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),2.0036
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),18.2495
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),6.7894
,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.2122
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),19.2396
,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),10.4372
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),3.7153
,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),21.7755
,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),4.6058
,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),2.3745
,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),32.6893
,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),3.3867
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),16.1635
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.274
,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),6.6367
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),2.4785
,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),11.7887
,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),9.5932
,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),7.0355
,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),24.0729
,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),30.1093
,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),33.2467
,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),6.5839
,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),6.48274410969975
,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),3.75246211220501
,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),1.78706413409234
,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),5.42309222645877
,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),
,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),
,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),6.76032603205236
,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),4.89843733521749
,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),2373.84106445313
,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),47.7936342686806
,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,
,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,
