País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Sri Lanka,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3298.95142059271
Sri Lanka,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1003.02507806174
Sri Lanka,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,891.459628881796
Sri Lanka,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,811.265975099797
Sri Lanka,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,622.819425123405
Sri Lanka,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5097.72758234047
Sri Lanka,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4741.09789397196
Sri Lanka,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1409.07330964993
Sri Lanka,Malasia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,825.236327821198
Sri Lanka,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,775.93893348203
Sri Lanka,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),18.6462461161685
Sri Lanka,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),307.911300913981
Sri Lanka,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1259.74153138604
Sri Lanka,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),217.816139506969
Sri Lanka,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),297.993529370473
Sri Lanka,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),585.1019641417
Sri Lanka,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),765.635546900528
Sri Lanka,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),46.1633776421757
Sri Lanka,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),10197.1551086493
Sri Lanka,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2353.17607676716
Sri Lanka,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),6070.20826209942
Sri Lanka,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1573.06926158335
Sri Lanka,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),311.612406843695
Sri Lanka,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),194.466762201988
Sri Lanka,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),828.470703487123
Sri Lanka,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),253.347228428131
Sri Lanka,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),180.324775219072
Sri Lanka,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),47.4347471106694
Sri Lanka,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),421.668688674029
Sri Lanka,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),732.553336296387
Sri Lanka,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),5989.97751647571
Sri Lanka,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),9480.66944498559
Sri Lanka,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1977.23023719911
Sri Lanka,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),4053.64467489707
Sri Lanka,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),13331.2485833222
Sri Lanka,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),21501.8941701628
Sri Lanka,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),13553825.2174965
Sri Lanka,...,2021,...,Aranceles,N.o de acuerdos arancelarios,11
Sri Lanka,...,2021,...,Importación,Número de asociados importadores,192
Sri Lanka,...,2021,...,Importación,Número de productos importados,4145
Sri Lanka,...,2021,...,Exportación,Número de asociados exportadores,196
Sri Lanka,...,2021,...,Exportación,Número de productos exportados,2995
Sri Lanka,...,2015,...,Others,CPIA Trade Ratings,3.5
Sri Lanka,...,2019,...,Others,Ease of Doing Business Rank,99
Sri Lanka,...,2012,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Sri Lanka,...,2012,...,Others,No Of NTM Measures,38
Sri Lanka,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0808426
Sri Lanka,...,,...,Others,Services Trade Restrictions Index - Over All,38.2
Sri Lanka,...,2019,...,Others,Trading Across Borders Rank,96
Sri Lanka,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0742395
Sri Lanka,...,2018,...,Others,Population,21670000
Sri Lanka,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,24.746
Sri Lanka,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.5239
Sri Lanka,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.687
Sri Lanka,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.0854
Sri Lanka,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.6719
Sri Lanka,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,23.7083
Sri Lanka,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,22.0497
Sri Lanka,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.5533
Sri Lanka,Malasia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.838
Sri Lanka,Singapur,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.6087
Sri Lanka,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),9.4495
Sri Lanka,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.6339
Sri Lanka,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),2.2353
Sri Lanka,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),4.389
Sri Lanka,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1399
Sri Lanka,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),2.3097
Sri Lanka,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),5.7432
Sri Lanka,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.3463
Sri Lanka,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),76.4906
Sri Lanka,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),17.6516
Sri Lanka,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),45.5337
Sri Lanka,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),11.7999
Sri Lanka,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.3375
Sri Lanka,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.4587
Sri Lanka,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),6.2145
Sri Lanka,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),1.9004
Sri Lanka,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),1.3526
Sri Lanka,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.3558
Sri Lanka,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),3.163
Sri Lanka,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),5.495
Sri Lanka,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),44.0923
Sri Lanka,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),9.1956
Sri Lanka,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),27.8579
Sri Lanka,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),18.8525
Sri Lanka,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),3.09832808757193
