País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Lesotho,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,425.608417251318
Lesotho,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,286.824900529275
Lesotho,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,175.468260745235
Lesotho,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20.3561153049083
Lesotho,Eswatini,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10.3746661312294
Lesotho,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1248.98738154526
Lesotho,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,143.888051313587
Lesotho,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,94.5329759024066
Lesotho,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,23.7666172087989
Lesotho,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22.6522052261154
Lesotho,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.32579576040587
Lesotho,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2.21972276631837
Lesotho,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2.0999562305439
Lesotho,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),9.54785669234145
Lesotho,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),88.1902638575684
Lesotho,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),7.79400990204404
Lesotho,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),590.107026329787
Lesotho,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1.50651485557709
Lesotho,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),176.021612253944
Lesotho,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),74.2712864761788
Lesotho,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),14.58967427031
Lesotho,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),560.285085123138
Lesotho,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),43.8988567622219
Lesotho,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3.03217133605551
Lesotho,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),69.2729090679878
Lesotho,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),5.74297355493722
Lesotho,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4.93999450185392
Lesotho,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),239.894818895632
Lesotho,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.50426244945364
Lesotho,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),2.46238582725675
Lesotho,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),752.341781428516
Lesotho,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),538.22417758912
Lesotho,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),247.51798536987
Lesotho,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),128.334270976977
Lesotho,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),948.535188449736
Lesotho,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1667.94869866578
Lesotho,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1382111.98677143
Lesotho,...,2021,...,Aranceles,N.o de acuerdos arancelarios,11
Lesotho,...,2021,...,Importación,Número de asociados importadores,119
Lesotho,...,2021,...,Importación,Número de productos importados,3490
Lesotho,...,2021,...,Exportación,Número de asociados exportadores,89
Lesotho,...,2021,...,Exportación,Número de productos exportados,1546
Lesotho,...,2018,...,Others,Population,2108132
Lesotho,...,2018,...,Others,CPIA Trade Ratings,4
Lesotho,...,2016,...,Others,LPI Score,2.025983
Lesotho,...,2019,...,Others,Ease of Doing Business Rank,122
Lesotho,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0751967
Lesotho,...,2019,...,Others,Trading Across Borders Rank,40
Lesotho,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0436204
Lesotho,...,,...,Others,Services Trade Restrictions Index - Over All,27.3
Lesotho,...,2016,...,Others,LPI Rank,154
Lesotho,Sudáfrica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,44.8701
Lesotho,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,30.2387
Lesotho,Bélgica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,18.4989
Lesotho,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.1461
Lesotho,Eswatini,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.0938
Lesotho,Sudáfrica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,74.8816
Lesotho,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.6266
Lesotho,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.6676
Lesotho,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,1.4249
Lesotho,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,1.3581
Lesotho,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),9.2975
Lesotho,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.8217
Lesotho,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),62.2125
Lesotho,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),1.5381
Lesotho,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),59.0685
Lesotho,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),4.6281
Lesotho,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.1588
Lesotho,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),18.5572
Lesotho,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),7.8301
Lesotho,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.3197
Lesotho,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),7.3031
Lesotho,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.0343
Lesotho,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.234
Lesotho,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0532
Lesotho,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.2596
Lesotho,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.6055
Lesotho,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.5208
Lesotho,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),25.2911
Lesotho,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.2214
Lesotho,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.0066
Lesotho,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),32.2686
Lesotho,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),14.8397
Lesotho,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),45.1058
Lesotho,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),7.6941
Lesotho,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),5.29011631215473
Lesotho,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),1.867270890351
Lesotho,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.704517901948916
Lesotho,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),0.327575040545339
Lesotho,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Lesotho,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),5.47432482389028
Lesotho,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),6.01083953974448
Lesotho,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),3.35203565971293
Lesotho,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),221.193405151367
Lesotho,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),69.3390112942048
Lesotho,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.49027026781207
Lesotho,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.245141208181784
