País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Lituania,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4415.95216996
Lituania,Letonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3727.79402394
Lituania,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3349.841504
Lituania,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3234.275405
Lituania,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2556.464324
Lituania,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5695.19670287
Lituania,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5389.2746758
Lituania,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5308.50233699
Lituania,Letonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3697.94289587
Lituania,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2340.29744
Lituania,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),6037.99973997
Lituania,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),5453.43137999
Lituania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2791.13931799
Lituania,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),2361.02023096
Lituania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3069.05079899
Lituania,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),119.872827
Lituania,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),18557.64796484
Lituania,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1671.988302
Lituania,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2376.909782
Lituania,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),4343.95327899
Lituania,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),107.088626
Lituania,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),5099.76231297
Lituania,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2390.44078299
Lituania,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1548.18685597
Lituania,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),9610.33084600001
Lituania,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),118.173677
Lituania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),735.75854699
Lituania,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),7567.61501198
Lituania,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),4019.45997699
Lituania,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2798.10012097
Lituania,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),14619.6813997
Lituania,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),11077.70933296
Lituania,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),7488.21942599
Lituania,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),9874.77800178
Lituania,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),40698.38327878
Lituania,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),44476.45262843
Lituania,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),9636828.62499999
Lituania,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Lituania,...,2021,...,Importación,Número de asociados importadores,191
Lituania,...,2021,...,Importación,Número de productos importados,4365
Lituania,...,2021,...,Exportación,Número de asociados exportadores,191
Lituania,...,2021,...,Exportación,Número de productos exportados,4191
Lituania,...,2019,...,Others,Ease of Doing Business Rank,11
Lituania,...,2019,...,Others,Trading Across Borders Rank,19
Lituania,...,2016,...,Others,LPI Score,3.631688
Lituania,...,2016,...,Others,LPI Rank,29
Lituania,...,,...,Others,Services Trade Restrictions Index - Over All,12.6
Lituania,...,2018,...,Others,Population,2789533
Lituania,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.8504
Lituania,Letonia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.1596
Lituania,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.2309
Lituania,Polonia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.9469
Lituania,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.2815
