País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Luxemburgo,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4078.90886623977
Luxemburgo,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2604.47243367707
Luxemburgo,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2077.80340663309
Luxemburgo,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1044.9112156135
Luxemburgo,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,690.339150165747
Luxemburgo,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6036.41814014616
Luxemburgo,Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6002.72806749172
Luxemburgo,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3121.74143915507
Luxemburgo,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1548.96859400213
Luxemburgo,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1077.3955755456
Luxemburgo,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),25.9066970083429
Luxemburgo,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),3769.41029371714
Luxemburgo,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),630.214056521242
Luxemburgo,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),907.819617125881
Luxemburgo,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),558.444805494079
Luxemburgo,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),701.08086942985
Luxemburgo,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),220.412926566644
Luxemburgo,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),5667.45649703065
Luxemburgo,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),86.5173282823723
Luxemburgo,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),425.428799161713
Luxemburgo,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3853.86438691644
Luxemburgo,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),947.192325470736
Luxemburgo,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2834.69472610205
Luxemburgo,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),13.8299662781564
Luxemburgo,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),659.161327356868
Luxemburgo,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2498.17946355424
Luxemburgo,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1609.11989420323
Luxemburgo,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),207.635066753837
Luxemburgo,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),710.523184606574
Luxemburgo,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),5656.84671108797
Luxemburgo,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2717.56445199575
Luxemburgo,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),4751.26459435725
Luxemburgo,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),11102.5095861737
Luxemburgo,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),5677.66364043055
Luxemburgo,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),16247.1265421389
Luxemburgo,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),25537.1482346997
Luxemburgo,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),2694269.44864474
Luxemburgo,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Luxemburgo,...,2021,...,Importación,Número de asociados importadores,220
Luxemburgo,...,2021,...,Importación,Número de productos importados,4316
Luxemburgo,...,2021,...,Exportación,Número de asociados exportadores,204
Luxemburgo,...,2021,...,Exportación,Número de productos exportados,3481
Luxemburgo,...,2019,...,Others,Trading Across Borders Rank,1
Luxemburgo,...,2019,...,Others,Ease of Doing Business Rank,72
Luxemburgo,...,2018,...,Others,Population,607728
Luxemburgo,...,2016,...,Others,LPI Score,4.219409
