País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Letonia,Lituania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3456.40932608187
Letonia,Estonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2067.04265883968
Letonia,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1490.88976958683
Letonia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1416.18833040389
Letonia,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1415.92083475894
Letonia,Lituania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3975.1942458057
Letonia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2430.92843856086
Letonia,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2214.62333770231
Letonia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2095.72617878724
Letonia,Estonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2046.38397039297
Letonia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),1147.99126959077
Letonia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1941.49331070068
Letonia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1436.2945726792
Letonia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),68.4181679510196
Letonia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),6800.2476234412
Letonia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),104.278667277251
Letonia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),440.195330583878
Letonia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3649.72527881429
Letonia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1421.37624927636
Letonia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),512.193052621189
Letonia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),5301.76625894633
Letonia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),685.990664255977
Letonia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4112.65683205723
Letonia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3241.29678937433
Letonia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),693.908152611776
Letonia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),902.327163321542
Letonia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1658.18415577425
Letonia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),3091.48413052145
Letonia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),43.8002941642765
Letonia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1198.22990288627
Letonia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),5197.53776942673
Letonia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),5735.23106859828
Letonia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),9193.38575982464
Letonia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1838.40470489594
Letonia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),19458.8219162731
Letonia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),23085.5279450376
Letonia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),4074522.11235332
Letonia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Letonia,...,2021,...,Importación,Número de asociados importadores,165
Letonia,...,2021,...,Importación,Número de productos importados,4255
Letonia,...,2021,...,Exportación,Número de asociados exportadores,193
Letonia,...,2021,...,Exportación,Número de productos exportados,3716
Letonia,...,2019,...,Others,Ease of Doing Business Rank,19
Letonia,...,2019,...,Others,Trading Across Borders Rank,28
Letonia,...,2018,...,Others,Population,1926542
Letonia,...,2016,...,Others,LPI Score,3.327107
Letonia,...,2016,...,Others,LPI Rank,43
Letonia,Lituania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.7627
Letonia,Estonia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.6227
Letonia,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.6618
Letonia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.2779
Letonia,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.2765
Letonia,Lituania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.2194
Letonia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.5301
Letonia,Polonia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.5931
Letonia,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.0781
Letonia,Estonia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.8644
Letonia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),7.3812
Letonia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.3516
Letonia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),34.9469
Letonia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),5.8996
Letonia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),9.9774
Letonia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),3.5253
Letonia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),21.1352
Letonia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),16.6572
Letonia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),7.3045
Letonia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),2.6322
Letonia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),27.2461
Letonia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.5359
Letonia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),2.2622
Letonia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),18.7561
Letonia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),3.566
Letonia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),4.6371
Letonia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.2251
