País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Macao,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1102.49770139171
Macao,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,180.345412175338
Macao,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,69.4657225867215
Macao,Viet Nam,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14.1955411546668
Macao,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.11877186706634
Macao,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6147.22614241806
Macao,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3500.22863348809
Macao,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2119.49118123028
Macao,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1645.86959514402
Macao,Suiza,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1517.54537775805
Macao,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),63.0057039300406
Macao,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),297.5791141009
Macao,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2.81826074734074
Macao,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),213.304388079639
Macao,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),30.3716173589616
Macao,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),61.8378966146638
Macao,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),45.1275783483
Macao,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),865.497291909232
Macao,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),57.6329100629926
Macao,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),346.372240032555
Macao,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1.84901537283424
Macao,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2.38217780648562
Macao,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),29.4622272184913
Macao,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),6.68990805905188
Macao,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),9.80341239017946
Macao,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.0012491362
Macao,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),247.75115527468
Macao,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),340.988341219776
Macao,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),
Macao,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),36.2698905976355
Macao,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),3435.95422751317
Macao,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),13628.0720951602
Macao,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1233.30047056483
Macao,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),627.19082259047
Macao,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1392.4249005535
Macao,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),19346.6548585082
Macao,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),18595825.5468919
Macao,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
Macao,...,2021,...,Importación,Número de asociados importadores,143
Macao,...,2021,...,Importación,Número de productos importados,2377
Macao,...,2021,...,Exportación,Número de asociados exportadores,47
Macao,...,2021,...,Exportación,Número de productos exportados,738
Macao,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0
Macao,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0
Macao,...,2018,...,Others,Population,631636
Macao,Hong Kong (China),2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,79.1783
Macao,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.9519
Macao,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9888
Macao,Viet Nam,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.0195
Macao,Singapur,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.5112
Macao,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,31.7741
Macao,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,18.0922
Macao,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.9553
Macao,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.5073
Macao,Suiza,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.844
Macao,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.4805
Macao,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.7041
Macao,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),4.441
Macao,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),3.2409
Macao,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),62.1576
Macao,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),4.5249
Macao,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),21.3713
Macao,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.2024
Macao,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),15.3189
Macao,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),2.1812
Macao,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),4.139
Macao,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),24.8755
Macao,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.0001
Macao,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),17.7928
Macao,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),24.4888
Macao,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.1328
Macao,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.1711
Macao,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),2.1159
Macao,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),
Macao,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),2.6048
Macao,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),6.3747
Macao,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),70.4415
Macao,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),17.7599
Macao,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),3.2419
Macao,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),0
Macao,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),0
Macao,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0
Macao,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),0
Macao,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Macao,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),8.60502001238192
Macao,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),0
Macao,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),0
Macao,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),0
Macao,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),100
Macao,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,2.65222718149089
Macao,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.423121824029082
