País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Marruecos,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7866.40819508766
Marruecos,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7517.39624727918
Marruecos,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2029.67441484436
Marruecos,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1807.05440959836
Marruecos,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1560.0663088318
Marruecos,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9229.66428377478
Marruecos,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6871.69672438688
Marruecos,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6190.08922223931
Marruecos,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3746.28469461803
Marruecos,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3382.46282219279
Marruecos,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),252.725826801501
Marruecos,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1064.31776214055
Marruecos,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),4011.11391469623
Marruecos,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3792.56514689394
Marruecos,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),11251.6629618001
Marruecos,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1210.27351714298
Marruecos,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),199.470141386009
Marruecos,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),6283.70105310774
Marruecos,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1628.72860477082
Marruecos,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),456.110334083951
Marruecos,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3327.72179878952
Marruecos,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),419.45500049602
Marruecos,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),6169.47245422187
Marruecos,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),109.709693429468
Marruecos,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),396.725242373876
Marruecos,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),8280.04207171559
Marruecos,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),5732.76309414264
Marruecos,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2548.41800623546
Marruecos,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),313.334140673063
Marruecos,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),15722.1391375066
Marruecos,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),17985.2910085718
Marruecos,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),13422.2157514027
Marruecos,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),20232.4889073714
Marruecos,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),6425.97088052294
Marruecos,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),36585.224951204
Marruecos,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),58677.6393342107
Marruecos,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),25384806.2782416
Marruecos,...,2021,...,Aranceles,N.o de acuerdos arancelarios,20
Marruecos,...,2021,...,Importación,Número de asociados importadores,188
Marruecos,...,2021,...,Importación,Número de productos importados,4236
Marruecos,...,2021,...,Exportación,Número de asociados exportadores,171
Marruecos,...,2021,...,Exportación,Número de productos exportados,3070
Marruecos,...,2018,...,Others,Population,36029138
Marruecos,...,2016,...,Others,LPI Score,2.665994
Marruecos,...,2019,...,Others,Trading Across Borders Rank,58
Marruecos,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1545955
Marruecos,...,2016,...,Others,LPI Rank,86
Marruecos,...,2019,...,Others,Ease of Doing Business Rank,53
Marruecos,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),11
Marruecos,...,2013,...,Others,No Of NTM Measures,2
Marruecos,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2304282
Marruecos,...,,...,Others,Services Trade Restrictions Index - Over All,21
Marruecos,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,21.5016
Marruecos,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,20.5476
Marruecos,Brasil,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.5478
Marruecos,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9393
Marruecos,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.2642
Marruecos,España,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.7294
Marruecos,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.7109
Marruecos,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.5493
Marruecos,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.3845
Marruecos,Turquía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.7645
Marruecos,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),6.9657
Marruecos,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.8564
Marruecos,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),42.974
Marruecos,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),4.4519
Marruecos,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.2467
Marruecos,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),9.0958
Marruecos,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),10.9638
Marruecos,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),10.3664
Marruecos,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),30.7547
Marruecos,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.6908
Marruecos,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),2.9091
Marruecos,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),3.3081
Marruecos,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.5452
Marruecos,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),17.1755
Marruecos,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.1465
Marruecos,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),16.8633
Marruecos,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),22.6322
Marruecos,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),15.6696
Marruecos,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.2999
Marruecos,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),1.0844
Marruecos,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),34.4807
Marruecos,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),30.651
Marruecos,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),22.8745
Marruecos,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),10.9513
Marruecos,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.77960061230564
Marruecos,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),4.69038601818648
Marruecos,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),2.31080353874786
Marruecos,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),2.05890317452591
Marruecos,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Marruecos,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),13.8322495217147
Marruecos,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),5.73145369662016
Marruecos,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),4.22513549426061
Marruecos,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),200
Marruecos,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),64.7420096093587
Marruecos,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,7.16179931713462
Marruecos,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0909433665316716
