País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
República de Moldova,Rumania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,833.477012
República de Moldova,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,313.959592
República de Moldova,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,276.067084
República de Moldova,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,245.445906
República de Moldova,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,240.059062
República de Moldova,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1053.924485
República de Moldova,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,836.543811
República de Moldova,Rumania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,829.938684
República de Moldova,Ucrania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,667.196408
República de Moldova,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,546.646126
República de Moldova,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),11.109037
República de Moldova,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),84.413458
República de Moldova,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),155.143566
República de Moldova,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),15.650437
República de Moldova,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),143.661926
República de Moldova,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),991.124968
República de Moldova,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),333.972367
República de Moldova,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),378.61506
República de Moldova,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),46.851344
República de Moldova,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),65.118164
República de Moldova,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),408.152959
República de Moldova,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),38.1713
República de Moldova,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1554.40942
República de Moldova,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),117.021957
República de Moldova,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),568.53572
República de Moldova,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),18.581571
República de Moldova,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),215.98281
República de Moldova,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),36.856823
República de Moldova,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),49.299976
República de Moldova,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1056.335571
