País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Madagascar,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,536.405299501522
Madagascar,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,505.511969775803
Madagascar,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,369.290893325946
Madagascar,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,242.965588957634
Madagascar,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,145.912475871614
Madagascar,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,853.500659259313
Madagascar,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,451.280705317382
Madagascar,Omán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,450.872304139227
Madagascar,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,364.783916312529
Madagascar,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,259.681169118996
Madagascar,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),32.3805746392464
Madagascar,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),638.695784478159
Madagascar,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),102.434011746884
Madagascar,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),39.5524640542607
Madagascar,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),550.703322123155
Madagascar,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),873.679423981351
Madagascar,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),541.409823440521
Madagascar,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),768.599846565056
Madagascar,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),232.033308864634
Madagascar,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),43.68912706819
Madagascar,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),23.5113285747081
Madagascar,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),113.137826625684
Madagascar,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),15.5375939797883
Madagascar,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),9.29586213798039
Madagascar,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),25.9505022134897
Madagascar,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),4.74525376841295
Madagascar,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),3.39487654426497
Madagascar,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),108.689812475038
Madagascar,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3.75009450323733
Madagascar,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1442.01194051534
Madagascar,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1976.34245944564
Madagascar,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1370.8165529674
Madagascar,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),744.155059429119
Madagascar,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),308.684312456928
Madagascar,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),2788.37634052114
Madagascar,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),4408.16539221686
Madagascar,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),884526.80405
Madagascar,...,2021,...,Aranceles,N.o de acuerdos arancelarios,7
Madagascar,...,2021,...,Importación,Número de asociados importadores,141
Madagascar,...,2021,...,Importación,Número de productos importados,3688
Madagascar,...,2021,...,Exportación,Número de asociados exportadores,141
Madagascar,...,2021,...,Exportación,Número de productos exportados,1728
Madagascar,...,2019,...,Others,Ease of Doing Business Rank,161
Madagascar,...,2019,...,Others,Trading Across Borders Rank,140
Madagascar,...,2018,...,Others,Population,26262368
Madagascar,...,2018,...,Others,CPIA Trade Ratings,4
Madagascar,...,2016,...,Others,LPI Score,2.154639
Madagascar,...,2016,...,Others,LPI Rank,147
Madagascar,...,,...,Others,Services Trade Restrictions Index - Over All,18.7
Madagascar,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,19.2372
Madagascar,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,18.1293
Madagascar,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.2439
Madagascar,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.7135
Madagascar,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.2329
Madagascar,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.3618
Madagascar,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.2374
Madagascar,Omán,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.2281
Madagascar,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.2752
Madagascar,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.8909
Madagascar,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),3.898
