País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Maldivas,Tailandia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,70.145102660909
Maldivas,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17.2918867555246
Maldivas,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10.270832235682
Maldivas,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.16715144730658
Maldivas,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.95783746701756
Maldivas,Omán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,337.580183017959
Maldivas,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,333.276250593369
Maldivas,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,323.71054018122
Maldivas,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,318.067224790154
Maldivas,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,261.875868959413
Maldivas,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.0852024601654182
Maldivas,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),0.0288393209805312
Maldivas,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.020661503351778
Maldivas,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.0062262366248466
Maldivas,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),7.48914204524841
Maldivas,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.0040461420925494
Maldivas,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.0260386243564086
Maldivas,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.0035905845238524
Maldivas,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),0.0041365835873748
Maldivas,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),35.7988854922486
Maldivas,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.0004357894087188
Maldivas,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),33.1832535583562
Maldivas,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.257746519959808
Maldivas,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.0801970754118318
Maldivas,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.025404694092225
Maldivas,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),108.593068031652
Maldivas,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.0094624715632212
Maldivas,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),110.595466192059
Maldivas,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.0903274120709712
Maldivas,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),6.28440224175838
Maldivas,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),322.761058487775
Maldivas,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1419.5723055935
Maldivas,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),313.959732908827
Maldivas,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),517.257638397823
Maldivas,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),151.293266489756
Maldivas,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2573.55073538792
Maldivas,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1007833.87536501
Maldivas,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Maldivas,...,2021,...,Importación,Número de asociados importadores,133
Maldivas,...,2021,...,Importación,Número de productos importados,2682
Maldivas,...,2021,...,Exportación,Número de asociados exportadores,55
Maldivas,...,2021,...,Exportación,Número de productos exportados,408
Maldivas,...,2018,...,Others,Population,515696
Maldivas,...,2018,...,Others,CPIA Trade Ratings,4
Maldivas,...,2016,...,Others,LPI Score,2.513077
Maldivas,...,2019,...,Others,Ease of Doing Business Rank,147
Maldivas,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2031543
Maldivas,...,2016,...,Others,LPI Rank,104
