País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,479402.84606234
,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,55109.5627725237
,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,41893.4597555066
,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,39955.4282207599
,Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,34984.9301457258
,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,131019.391951909
,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,96147.0290739015
,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,60777.279972626
,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,42809.3445798174
,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,35407.2146235451
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),19400.7380629766
,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),2176.37943052076
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),397396.185042449
,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),72319.963319878
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),89669.2087960394
,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),611184.147390692
,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),49933.5329410123
,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),10496.8750902026
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),81198.4062368301
,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),103156.008619105
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),49402.4910917092
,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),37307.1122119939
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),858.077131930623
,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),20897.8584127613
,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),6545.13447997638
,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),6673.66698375429
,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),373328.739513428
,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),17567.1368408392
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),19914.432080949
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),196300.888385991
,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),224511.80982163
,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),305569.846904105
,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),203228.895391438
,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),94141.4941994915
,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1095545.16050207
,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),894878.68946202
,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),275102778.062095
,...,2021,...,Aranceles,N.o de acuerdos arancelarios,115
,...,2021,...,Importación,Número de asociados importadores,237
,...,2021,...,Importación,Número de productos importados,4590
,...,2021,...,Exportación,Número de asociados exportadores,230
,...,2021,...,Exportación,Número de productos exportados,4544
,...,2018,...,Others,Population,448912859
,...,2018,...,Others,CPIA Trade Ratings,3.25
,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,43.7593
,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0303
,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.824
,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.6471
,Arabia Saudita,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.1934
,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.641
,No especificados ,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.7441
,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7917
,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.7838
,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.9566
,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),1.6035
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.8178
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),17.9181
,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.9581
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),7.4117
,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),9.416
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.7709
,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1987
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),36.2738
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.5094
,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),3.4053
,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),55.7881
,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),4.5579
,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),6.6013
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),8.1849
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0783
,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),1.9075
,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.5974
,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.6092
,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),34.077
,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),34.1465
,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),25.0885
,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),22.7102
,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),10.52
,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),2.37875556229964
,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),4.47604347583886
,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),2.85252201585838
,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),3.29034113038108
,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),
,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),
,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),4.71509251938912
,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),3.43268031502132
,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),1400.1240234375
,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),40.8839809185354
,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,
,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,
