País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
México,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,386086.717587
México,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22905.035041
México,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12895.260598
México,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9078.868364
México,"Otra zona de Asia, no esp.",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7489.936894
México,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,221311.735897
México,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,101020.778949
México,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18963.156999
México,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17214.364747
México,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17078.967078
México,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),27583.940809
México,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),24708.505758
México,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),19259.662183
México,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),895.061896
México,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),128186.661443
México,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),19136.353399
México,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),7863.55204
México,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),28594.612454
México,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),9365.467817
México,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),11241.165984
México,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),216890.025859
México,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),746.336341
México,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),52283.364927
México,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),9948.227262
México,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),168461.114438
México,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),15391.042127
México,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),119084.368796
México,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),4942.865652
México,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),3684.474006
México,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),51795.188096
