País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Macedonia del Norte,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3830.02710017
Macedonia del Norte,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,701.824246349999
Macedonia del Norte,Bulgaria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,396.32416748
Macedonia del Norte,Hungría,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,251.6510596
Macedonia del Norte,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,245.23955442
Macedonia del Norte,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2018.54718433
Macedonia del Norte,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1158.78054886
Macedonia del Norte,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,871.25585959
Macedonia del Norte,Grecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,868.58563258
Macedonia del Norte,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,760.18426585
Macedonia del Norte,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),150.07146977
Macedonia del Norte,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1114.12463767
Macedonia del Norte,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),483.21398619
Macedonia del Norte,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),32.98748279
Macedonia del Norte,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),2206.21092648
Macedonia del Norte,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),40.25654641
Macedonia del Norte,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),46.39086198
Macedonia del Norte,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),762.72704051
Macedonia del Norte,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),347.57794742
Macedonia del Norte,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),93.48686869
Macedonia del Norte,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1786.5353948
Macedonia del Norte,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),2082.65525319
Macedonia del Norte,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2241.17309591
Macedonia del Norte,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),5.99092736
Macedonia del Norte,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),375.07667578
Macedonia del Norte,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),198.0842441
Macedonia del Norte,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),255.669140717995
Macedonia del Norte,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),215.66102761
Macedonia del Norte,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),503.89447204
Macedonia del Norte,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3425.219358758
Macedonia del Norte,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),4032.32140441
Macedonia del Norte,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),4901.99272966
Macedonia del Norte,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1836.13150729
Macedonia del Norte,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),611.30005471
Macedonia del Norte,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),8186.31463762799
Macedonia del Norte,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),11389.53396813
Macedonia del Norte,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),6638116.00514
Macedonia del Norte,...,2021,...,Aranceles,N.o de acuerdos arancelarios,7
Macedonia del Norte,...,2021,...,Importación,Número de asociados importadores,181
Macedonia del Norte,...,2021,...,Importación,Número de productos importados,3987
Macedonia del Norte,...,2021,...,Exportación,Número de asociados exportadores,142
Macedonia del Norte,...,2021,...,Exportación,Número de productos exportados,2905
Macedonia del Norte,...,2018,...,Others,Population,2082958
Macedonia del Norte,...,2019,...,Others,Ease of Doing Business Rank,17
Macedonia del Norte,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0598972
Macedonia del Norte,...,2019,...,Others,Trading Across Borders Rank,32
Macedonia del Norte,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0174594
Macedonia del Norte,...,2016,...,Others,LPI Score,2.510262
Macedonia del Norte,...,2016,...,Others,LPI Rank,106
Macedonia del Norte,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,46.7857
Macedonia del Norte,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.5731
Macedonia del Norte,Bulgaria,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.8413
Macedonia del Norte,Hungría,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.074
Macedonia del Norte,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.9957
Macedonia del Norte,Reino Unido,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.7228
Macedonia del Norte,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.1741
Macedonia del Norte,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.6496
Macedonia del Norte,Grecia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.6262
Macedonia del Norte,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.6744
Macedonia del Norte,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),2.6344
Macedonia del Norte,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),6.1553
Macedonia del Norte,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),41.8408
Macedonia del Norte,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),5.9027
Macedonia del Norte,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.403
Macedonia del Norte,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),26.95
Macedonia del Norte,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),4.2458
Macedonia del Norte,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.142
Macedonia del Norte,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),21.8234
Macedonia del Norte,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),25.4407
Macedonia del Norte,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),27.3771
Macedonia del Norte,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),2.4197
Macedonia del Norte,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),3.1231
Macedonia del Norte,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),1.8332
Macedonia del Norte,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),13.6096
Macedonia del Norte,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0732
Macedonia del Norte,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),4.5818
Macedonia del Norte,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.4918
Macedonia del Norte,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.5667
Macedonia del Norte,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),9.3171
Macedonia del Norte,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),43.0394
Macedonia del Norte,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),16.1212
Macedonia del Norte,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),35.4037
Macedonia del Norte,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),5.3672
Macedonia del Norte,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),0.44462165653372
Macedonia del Norte,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),4.59542300279961
Macedonia del Norte,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),1.05397060356186
Macedonia del Norte,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),4.59892048980979
Macedonia del Norte,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Macedonia del Norte,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),12.8821899384849
Macedonia del Norte,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),3.45959723379019
Macedonia del Norte,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.3779968488919
Macedonia del Norte,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),64
Macedonia del Norte,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),70.507848088086
Macedonia del Norte,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,4.19241730929332
Macedonia del Norte,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.193622548191493
