País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Malí,Sudáfrica,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1328.42959358
Malí,Suiza,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1297.99219925
Malí,Bangladesh,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,258.61495892
Malí,Côte d'Ivoire,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,154.44033859
Malí,Burkina Faso,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,100.681670013658
Malí,Senegal,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1135.9356602
Malí,China,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,795.9054192
Malí,Côte d'Ivoire,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,536.196325680051
Malí,Francia,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,401.053327828532
Malí,India,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,156.12711563
Malí,Mundo,2019,Reino vegetal,Exportación,Exportaciones (en millones de US $),70.05344372
Malí,Mundo,2019,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),425.96720193
Malí,Mundo,2019,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3196.34847958
Malí,Mundo,2019,Productos químicos,Exportación,Exportaciones (en millones de US $),70.88603347
Malí,Mundo,2019,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),39.49654378
Malí,Mundo,2019,Plástico o caucho,Exportación,Exportaciones (en millones de US $),13.7573124
Malí,Mundo,2019,Transporte,Exportación,Exportaciones (en millones de US $),24.08078127
Malí,Mundo,2019,Minerales,Exportación,Exportaciones (en millones de US $),0.737106515364906
Malí,Mundo,2019,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2658.05692496
Malí,Mundo,2019,Bienes de capital,Exportación,Exportaciones (en millones de US $),116.87853968
Malí,Mundo,2019,Productos alimenticios,Exportación,Exportaciones (en millones de US $),39.20249825
Malí,Mundo,2019,Calzado,Exportación,Exportaciones (en millones de US $),0.18901191
Malí,Mundo,2019,Bienes de consumo,Exportación,Exportaciones (en millones de US $),99.23324179
Malí,Mundo,2019,Combustibles,Exportación,Exportaciones (en millones de US $),26.6449689
Malí,Mundo,2019,Metales,Exportación,Exportaciones (en millones de US $),33.65810805
Malí,Mundo,2019,Cueros y pieles,Exportación,Exportaciones (en millones de US $),5.53229782
Malí,Mundo,2019,Varios,Exportación,Exportaciones (en millones de US $),10.63133891
Malí,Mundo,2019,Reino animal,Exportación,Exportaciones (en millones de US $),215.28129851
Malí,Mundo,2019,Madera,Exportación,Exportaciones (en millones de US $),9.06164173
Malí,Mundo,2019,Materias primas,Exportación,Exportaciones (en millones de US $),230.721432535365
Malí,Mundo,2019,Bienes intermedios,Importación,Importaciones (en millones de US $),1114.90953010005
