País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Malta,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,422.174686444
Malta,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,233.091607525
Malta,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,189.355134028
Malta,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,172.777182326
Malta,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,136.318722616
Malta,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1678.879160262
Malta,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,502.435620109
Malta,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,472.650340898
Malta,Canadá,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,460.448218465
Malta,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,416.458922399
Malta,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),5.888416927
Malta,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),62.999569773
Malta,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),285.666143467
Malta,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),104.825866813
Malta,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),4.742509516
Malta,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1572.960847073
Malta,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),614.607974276
Malta,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),858.378233
Malta,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),223.098993016
Malta,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),39.686075225
Malta,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.14949601
Malta,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),20.984665868
Malta,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),958.058191875
Malta,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),166.03394457
Malta,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),134.799589672
Malta,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),201.855524644
Malta,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),333.276576407
Malta,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),232.713093961
Malta,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3.355972406
