País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Myanmar,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4470.84772565398
Myanmar,Tailandia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3492.85195671158
Myanmar,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,907.80471014576
Myanmar,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,858.0000032852
Myanmar,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,593.08146444325
Myanmar,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4205.76128006736
Myanmar,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2738.79655250101
Myanmar,Tailandia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2068.12536272861
Myanmar,Indonesia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1205.4595521
Myanmar,Malasia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,852.6128009732
Myanmar,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),22.65060926807
Myanmar,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),36.62034353578
Myanmar,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),449.27302974904
Myanmar,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),295.4034055248
Myanmar,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),570.5882219426
Myanmar,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),9027.69827849599
Myanmar,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3207.0360628857
Myanmar,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),931.82544959713
Myanmar,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),704.15241059782
Myanmar,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),146.62712343564
Myanmar,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2854.20126219706
Myanmar,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),277.43008054619
Myanmar,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),124.14710830352
Myanmar,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),509.84996007817
Myanmar,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),174.66698757418
Myanmar,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),6.27524488839
Myanmar,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),277.72853226906
Myanmar,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3902.22978544576
Myanmar,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3957.62780356681
Myanmar,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2811.41676641753
Myanmar,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),4255.79716890529
Myanmar,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),6811.98385805161
Myanmar,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2783.03805197479
Myanmar,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),471.02935276221
Myanmar,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),15144.8591294596
Myanmar,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),14322.0707369337
Myanmar,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),8762036.31446981
Myanmar,...,2021,...,Aranceles,N.o de acuerdos arancelarios,6
Myanmar,...,2021,...,Importación,Número de asociados importadores,143
Myanmar,...,2021,...,Importación,Número de productos importados,3539
Myanmar,...,2021,...,Exportación,Número de asociados exportadores,124
Myanmar,...,2021,...,Exportación,Número de productos exportados,1456
Myanmar,...,2018,...,Others,Population,53708395
Myanmar,...,2019,...,Others,Trading Across Borders Rank,168
Myanmar,...,2018,...,Others,CPIA Trade Ratings,3.5
Myanmar,...,2016,...,Others,LPI Score,2.458571
Myanmar,...,2016,...,Others,LPI Rank,113
Myanmar,...,2019,...,Others,Ease of Doing Business Rank,165
Myanmar,...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),2502
Myanmar,...,2015,...,Others,No Of NTM Measures,48
Myanmar,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,29.5206
Myanmar,Tailandia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,23.063
Myanmar,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.9941
Myanmar,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6653
Myanmar,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.9161
Myanmar,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,29.3656
Myanmar,Singapur,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.1229
Myanmar,Tailandia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.4401
Myanmar,Indonesia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.4168
Myanmar,Malasia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.9531
Myanmar,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),25.766
Myanmar,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),26.1318
Myanmar,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),18.5635
Myanmar,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.9505
Myanmar,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),3.7675
