País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Mongolia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7633.17330647
Mongolia,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,869.73846305
Mongolia,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,254.09127275
Mongolia,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,223.30323761
Mongolia,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,112.78388513
Mongolia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2490.4223696
Mongolia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1955.11186144
Mongolia,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,453.16121325
Mongolia,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,308.74426155
Mongolia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,222.74208454
Mongolia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.59543142
Mongolia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),17.63888229
Mongolia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),6.47843739
Mongolia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),3.67105848
Mongolia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1.18000392
Mongolia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),25.9546076
Mongolia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),42.26645373
Mongolia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.14974334
Mongolia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),7917.18992859
Mongolia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),90.28811399
Mongolia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),370.65785035
Mongolia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1174.24593405
Mongolia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),47.07609075
Mongolia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),2.25712877
Mongolia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),103.95813471
Mongolia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),4453.96117424
Mongolia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1025.31420723
Mongolia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),45.72915259
Mongolia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3056.5654445
Mongolia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),97.06852194
Mongolia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1123.02497186
Mongolia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),3405.00977048
Mongolia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2066.69486661
Mongolia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),249.73892292
Mongolia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),9241.12314994
Mongolia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),6844.46853187
Mongolia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),192619.55875
Mongolia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,3
Mongolia,...,2021,...,Importación,Número de asociados importadores,152
Mongolia,...,2021,...,Importación,Número de productos importados,3434
Mongolia,...,2021,...,Exportación,Número de asociados exportadores,64
Mongolia,...,2021,...,Exportación,Número de productos exportados,899
Mongolia,...,2018,...,Others,Population,3170208
Mongolia,...,2018,...,Others,CPIA Trade Ratings,4
Mongolia,...,2016,...,Others,LPI Score,2.506056
Mongolia,...,2019,...,Others,Ease of Doing Business Rank,81
Mongolia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0494368
Mongolia,...,2016,...,Others,LPI Rank,108
Mongolia,...,,...,Others,Services Trade Restrictions Index - Over All,13.7
Mongolia,...,2019,...,Others,Trading Across Borders Rank,143
Mongolia,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0494368
Mongolia,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,82.6001
Mongolia,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.4116
Mongolia,Singapur,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.7496
Mongolia,"Corea, Rep. de",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.4164
Mongolia,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.2205
Mongolia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,36.3859
Mongolia,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,28.5648
Mongolia,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.6208
Mongolia,"Corea, Rep. de",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.5109
Mongolia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.2543
Mongolia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.5094
Mongolia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0244
Mongolia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),1.125
Mongolia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.977
Mongolia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),4.011
Mongolia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),12.7067
Mongolia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0701
Mongolia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.0397
Mongolia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.4574
Mongolia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0016
Mongolia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),85.6735
Mongolia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.0064
Mongolia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.1909
Mongolia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0128
Mongolia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.2809
Mongolia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),48.1972
Mongolia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),11.0951
Mongolia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.4948
Mongolia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),33.0757
Mongolia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),1.0504
Mongolia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),30.1951
Mongolia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),16.4078
Mongolia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),49.7483
Mongolia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),3.6488
Mongolia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),4.92397473654444
Mongolia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),6.33471108244303
Mongolia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),4.33531946788822
Mongolia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),5.41137833928141
Mongolia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Mongolia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),15.2685431993425
Mongolia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),5.04178037589221
Mongolia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),5.27629118131329
Mongolia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),40
Mongolia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),4.21858412024362
Mongolia,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,2.14556504865988
Mongolia,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.706996610554044
